,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
102,Casemiro\4d224fe8,br BRA,MF,Real Madrid,29-353,1992,18.6,68,49,39,25,4,22,48,45.8,26,322,128,39.8,154,135,33,40,10,0,30,38,106,50,2,Matches
103,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-132,1986,12.0,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,1,0,0,1,0,0,2,1,Matches
104,Catena\274ab13c,es ESP,DF,Rayo Vallecano,27-106,1994,21.0,30,16,19,11,0,16,24,66.7,8,120,47,39.2,77,40,3,23,12,0,11,35,65,109,0,Matches
105,Dani Ceballos\c0617e2b,es ESP,MF,Real Madrid,25-188,1996,0.3,1,1,1,0,0,0,0,,0,2,1,50.0,1,1,0,1,0,0,1,1,2,0,0,Matches
106,Franco Cervi\5e1028e5,ar ARG,MF,Celta Vigo,27-261,1994,11.9,42,28,22,14,6,8,38,21.1,30,273,77,28.2,107,117,49,33,1,0,32,25,67,12,0,Matches
107,Chapela\9ed40a69,es ESP,MFFW,Cádiz,22-266,1999,4.4,6,2,2,0,4,0,5,0.0,5,79,17,21.5,29,32,18,7,1,0,6,6,12,5,0,Matches
108,Chema\7f203b54,es ESP,MF,Getafe,29-345,1992,0.5,0,0,0,0,0,0,1,0.0,1,13,1,7.7,6,6,1,0,0,0,0,0,0,0,0,Matches
109,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,31-047,1990,4.7,7,4,5,1,1,3,8,37.5,5,72,21,29.2,15,38,19,9,1,0,8,10,17,8,0,Matches
110,Samuel Chukwueze\b8a642fc,ng NGA,MF,Villarreal,22-265,1999,5.7,2,2,1,1,0,0,2,0.0,2,62,21,33.9,18,21,23,2,0,0,2,2,4,2,0,Matches
111,Víctor Chust\ec1a731e,es ESP,DF,Cádiz,21-343,2000,10.3,14,8,11,2,1,5,11,45.5,6,87,38,43.7,55,29,3,20,11,0,9,11,25,63,0,Matches
112,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-295,1989,14.2,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,3,0,Matches
113,Pathé Ciss\9a0408b6,sn SEN,MF,Rayo Vallecano,27-332,1994,7.3,20,13,7,10,3,10,21,47.6,11,121,41,33.9,55,60,6,18,6,0,12,19,39,27,0,Matches
114,Carlos Clerc\33a61a52,es ESP,DF,Levante,29-355,1992,16.8,38,17,23,11,4,8,23,34.8,15,228,67,29.4,110,93,25,26,2,0,24,26,64,41,1,Matches
