,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
91,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-058,1989,16.7,20,11,13,5,2,8,16,50.0,8,116,42,36.2,61,39,16,23,8,0,15,27,47,41,0,Matches
92,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-066,2002,1.1,4,2,2,2,0,1,1,100.0,0,21,4,19.0,10,11,0,1,1,0,0,3,7,6,0,Matches
93,Cucho\71b47ab9,co COL,MFFW,Watford,22-297,1999,7.8,5,2,3,2,0,1,19,5.3,18,149,34,22.8,43,60,46,10,0,0,10,6,11,3,0,Matches
94,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-204,1998,18.3,44,27,17,21,6,24,43,55.8,19,287,96,33.4,123,114,50,41,7,2,34,30,74,31,0,Matches
95,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19-291,2002,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
96,Patson Daka\ca45605e,zm ZAM,FWMF,Leicester City,23-125,1998,5.7,7,4,2,2,3,0,3,0.0,3,96,31,32.3,9,50,37,4,0,0,4,1,8,6,0,Matches
97,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-298,1991,21.9,58,26,38,19,1,31,70,44.3,39,321,95,29.6,160,129,32,38,12,0,26,49,107,51,0,Matches
98,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,22-330,1999,9.1,24,11,11,7,6,12,21,57.1,9,105,36,34.3,40,45,20,8,2,0,6,24,48,30,0,Matches
99,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
100,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,23-111,1998,0.3,0,0,0,0,0,0,0,,0,7,1,14.3,2,4,1,1,0,0,1,1,1,1,0,Matches
101,Ben Davies\44781702,wls WAL,DF,Tottenham,28-293,1993,11.3,22,10,9,9,4,5,12,41.7,7,131,43,32.8,65,44,22,16,6,1,10,15,37,33,0,Matches
102,Tom Davies\9228b07c,eng ENG,MF,Everton,23-226,1998,1.8,4,2,1,2,1,1,4,25.0,3,40,12,30.0,15,16,9,3,0,0,3,4,8,3,0,Matches
103,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,23-363,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
104,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31-281,1990,17.9,18,10,11,7,0,7,16,43.8,9,108,39,36.1,63,39,6,32,27,0,5,20,38,75,1,Matches
105,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30-228,1991,13.2,15,9,3,8,4,6,26,23.1,20,203,59,29.1,28,79,96,26,2,0,24,7,22,11,0,Matches
