,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
386,Diadie Samassékou\08593525,ml MLI,MF,Hoffenheim,26-031,1996,9.0,21,14,9,9,3,10,19,52.6,9,160,51,31.9,39,96,25,16,6,0,10,17,38,12,0,Matches
387,Leroy Sané\2b114be3,de GER,FWMF,Bayern Munich,26-031,1996,14.7,25,14,2,17,6,8,19,42.1,11,255,91,35.7,32,114,109,11,0,0,11,18,43,3,0,Matches
388,Mohamed Sankoh\be625686,nl NED,FW,Stuttgart,18-118,2003,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Baptiste Santamaria\5e22e2a4,fr FRA,MF,Freiburg,26-339,1995,0.2,0,0,0,0,0,0,1,0.0,1,3,3,100.0,1,1,1,1,0,0,1,0,0,1,0,Matches
390,Bouna Sarr\1a4b9094,sn SEN,DF,Bayern Munich,30-011,1992,0.7,4,2,2,1,1,3,4,75.0,1,10,5,50.0,5,4,1,4,1,0,3,3,7,0,0,Matches
391,Joseph Scally\236f02cd,us USA,DF,M'Gladbach,19-042,2002,16.8,29,16,13,12,4,10,25,40.0,15,279,81,29.0,107,116,56,27,3,0,24,33,62,24,0,Matches
392,Kevin Schade\52afb588,de GER,FWMF,Freiburg,20-076,2001,8.5,15,10,8,7,0,5,15,33.3,10,153,44,28.8,42,53,58,12,2,0,10,8,23,8,0,Matches
393,Louis Schaub\b50ec54b,at AUT,MF,Köln,27-044,1994,5.2,16,9,10,4,2,5,15,33.3,10,141,60,42.6,48,48,45,16,3,0,13,5,21,6,0,Matches
394,Patrik Schick\5d4f7d61,cz CZE,FW,Leverkusen,26-018,1996,15.7,3,1,0,2,1,0,5,0.0,5,155,36,23.2,9,69,77,8,2,0,6,5,8,21,0,Matches
395,Kingsley Schindler\bd527260,de GER,DFMF,Köln,28-214,1993,2.4,1,1,0,1,0,0,6,0.0,6,35,8,22.9,14,13,8,0,0,0,0,7,8,6,0,Matches
396,Xaver Schlager\8f056768,at AUT,MF,Wolfsburg,24-136,1997,2.6,9,7,2,6,1,5,11,45.5,6,50,18,36.0,13,31,6,4,0,0,4,3,12,1,0,Matches
397,Keven Schlotterbeck\f6bdc830,de GER,DF,Freiburg,24-289,1997,2.1,9,3,6,3,0,2,3,66.7,1,21,9,42.9,14,5,2,4,4,0,0,6,15,15,1,Matches
398,Nico Schlotterbeck\34e12499,de GER,DF,Freiburg,22-072,1999,18.2,46,31,22,18,6,18,31,58.1,13,171,65,38.0,90,69,12,38,22,1,16,44,90,98,1,Matches
399,Jonathan Schmid\088ca1bd,fr FRA,DF,Freiburg,31-230,1990,2.1,2,2,0,1,1,2,2,100.0,0,16,8,50.0,4,8,4,6,1,0,5,6,8,3,0,Matches
400,Benno Schmitz\ad00b1a8,de GER,DF,Köln,27-086,1994,18.7,51,32,23,19,9,35,66,53.0,31,297,114,38.4,126,103,68,30,8,1,22,39,90,35,0,Matches
401,Alessandro Schöpf\106bca06,at AUT,MF,Arminia,28-004,1994,17.4,26,15,10,13,3,11,19,57.9,8,348,106,30.5,80,181,87,27,3,0,24,30,56,16,0,Matches
402,Nico Schulz\fa274d97,de GER,DF,Dortmund,28-316,1993,6.8,19,13,7,9,3,4,10,40.0,6,83,35,42.2,24,38,21,11,1,0,10,15,34,7,0,Matches
403,Marvin Schwäbe\87436846,de GER,GK,Köln,26-292,1995,9.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,1,Matches
404,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,29-254,1992,21.0,0,0,0,0,0,0,0,,0,4,1,25.0,4,0,0,0,0,0,0,1,1,2,1,Matches
