,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
71,Myron Boadu\5b479568,nl NED,FW,Monaco,21-028,2001,7.6,1,12,3,25.0,1.57,0.39,0.08,0.33,11.7,0,0,0,2.9,2.9,0.24,-1.9,-1.9,Matches
72,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,33-161,1988,14.9,0,4,2,50.0,0.27,0.13,0.00,0.00,19.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
73,Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,26-150,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Quentin Boisgard\f6496133,fr FRA,MF,Lorient,24-331,1997,6.5,0,12,5,41.7,1.85,0.77,0.00,0.00,23.6,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
75,Charles Boli\bbdd999a,fr FRA,MF,Lens,23-165,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,Sven Botman\ccce7025,nl NED,DF,Lille,22-030,2000,16.0,3,10,5,50.0,0.62,0.31,0.30,0.60,9.8,0,0,0,1.3,1.3,0.13,+1.7,+1.7,Matches
77,Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,27-092,1994,13.4,3,48,19,39.6,3.58,1.42,0.06,0.16,17.6,0,0,0,4.5,4.5,0.10,-1.5,-1.5,Matches
78,Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,22-141,1999,12.3,2,10,2,20.0,0.81,0.16,0.20,1.00,16.9,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches
79,Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,31-357,1990,13.5,1,15,4,26.7,1.11,0.30,0.07,0.25,25.2,5,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
80,Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,28-147,1993,17.0,5,36,15,41.7,2.12,0.88,0.08,0.20,21.1,6,2,2,5.5,4.0,0.12,-0.5,-1.0,Matches
81,Farid Boulaya\a0791826,dz ALG,FWMF,Metz,28-351,1993,9.7,3,11,5,45.5,1.13,0.51,0.27,0.60,22.6,3,0,0,1.1,1.1,0.10,+1.9,+1.9,Matches
82,Ismaëlben Boura\62e02107,fr FRA,DF,Lens,21-181,2000,1.1,0,1,0,0.0,0.95,0.00,0.00,,32.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
83,Benjamin Bourigeaud\20e73fac,fr FRA,MFFW,Rennes,28-028,1994,21.3,3,28,10,35.7,1.32,0.47,0.11,0.30,18.4,5,0,0,2.7,2.7,0.10,+0.3,+0.3,Matches
84,Redwan Bourles\5c7895a0,fr FRA,MFFW,Lorient,19-040,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
85,Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,22-063,1999,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,Bilal Brahimi\02bcaf8e,fr FRA,FWDF,Angers,21-334,2000,3.8,0,6,2,33.3,1.60,0.53,0.00,0.00,17.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
87,Bilal Brahimi\02bcaf8e,fr FRA,MF,Nice,21-334,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
88,Lilian Brassier\5b146df3,fr FRA,DF,Brest,22-101,1999,13.1,0,5,0,0.0,0.38,0.00,0.00,,27.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
89,Jimmy Briand\f83c8d6c,fr FRA,FWMF,Bordeaux,36-193,1985,2.0,2,6,1,16.7,3.00,0.50,0.17,1.00,13.0,0,1,1,1.4,0.7,0.11,+0.6,+0.3,Matches
