,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
97,Gaetano Castrovilli\0728bebe,it ITA,MF,Fiorentina,24-359,1997,7.0,231,224,7,4,1,61,9,13,0,0,0,0,161,28,42,48,172,4,2,2,170,1,4,10,12,Matches
98,Danilo Cataldi\ba3d3bea,it ITA,MF,Lazio,27-189,1994,12.9,869,820,49,33,1,80,29,7,16,9,4,0,676,76,117,193,657,13,0,3,760,3,12,12,10,Matches
99,Pietro Ceccaroni\4d1efb48,it ITA,DF,Venezia,26-052,1995,21.7,1109,1052,57,35,0,125,3,6,0,0,0,0,816,96,197,860,174,34,20,0,945,1,12,31,12,Matches
100,Federico Ceccherini\d9624b51,it ITA,DF,Hellas Verona,29-276,1992,15.2,730,697,33,22,0,98,12,2,0,0,0,0,504,95,131,204,428,53,11,4,601,3,15,21,13,Matches
101,Emil Ceide\98a84572,no NOR,FW,Sassuolo,20-161,2001,0.1,6,6,0,0,0,2,0,0,0,0,0,0,6,0,0,2,4,0,0,0,3,0,0,1,1,Matches
102,Luca Ceppitelli\7d50454d,it ITA,DF,Cagliari,32-184,1989,12.1,607,586,21,19,0,62,17,1,0,0,0,0,437,51,119,132,425,23,2,1,512,5,6,4,10,Matches
103,Damir Ceter\eade5337,co COL,FW,Cagliari,24-101,1997,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0,Matches
104,Julian Chabot\ae7058f9,de GER,DF,Sampdoria,23-364,1998,5.4,245,224,21,14,0,18,11,0,0,0,0,0,159,18,68,199,19,11,7,1,202,2,7,5,0,Matches
105,Giorgio Chiellini\e85fb9b8,it ITA,DF,Juventus,37-181,1984,10.5,667,641,26,17,0,53,16,1,0,0,0,0,470,65,132,474,142,21,5,6,563,4,15,15,9,Matches
106,Federico Chiesa\b0f7e36c,it ITA,MFFW,Juventus,24-109,1997,9.6,283,251,32,1,0,55,19,23,17,8,4,1,180,53,50,43,217,7,12,2,218,3,6,13,9,Matches
107,Vlad Chiricheș\c316607a,ro ROU,DF,Sassuolo,32-089,1989,17.6,964,923,41,35,0,77,45,0,0,0,0,0,801,71,92,71,835,35,2,6,892,2,6,15,4,Matches
108,Riccardo Ciervo\da77b60b,it ITA,MFDF,Sampdoria,19-316,2002,2.5,71,67,4,1,0,12,2,8,1,1,0,0,49,12,10,13,55,0,2,1,50,1,0,1,5,Matches
109,Giorgio Cittadini\e4ba67f2,it ITA,DF,Atalanta,19-299,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Ebrima Colley\bf356094,gm GAM,FWMF,Spezia,22-010,2000,4.0,120,110,10,3,2,18,6,12,5,2,2,0,81,18,21,18,93,6,2,1,85,1,2,5,3,Matches
111,Omar Colley\8b95acda,gm GAM,DF,Sampdoria,29-110,1992,17.5,765,715,50,27,0,65,14,0,0,0,0,0,544,63,158,492,191,52,2,3,629,1,18,14,3,Matches
112,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,35-015,1987,23.0,938,701,237,86,0,62,23,0,0,0,0,0,524,60,354,50,757,2,0,99,738,1,18,8,1,Matches
113,Andrea Conti\8fef5412,it ITA,DF,Sampdoria,27-346,1994,0.5,11,9,2,0,0,4,0,0,0,0,0,0,4,5,2,3,4,2,2,0,7,0,0,2,0,Matches
114,Andrea Conti\8fef5412,it ITA,DF,Milan,27-346,1994,0.1,5,4,1,0,0,1,0,0,0,0,0,0,4,1,0,0,4,0,1,0,4,0,1,0,0,Matches
115,Diego Coppola\22ae86f9,it ITA,DF,Hellas Verona,18-045,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Joaquín Correa\45b9b619,ar ARG,FW,Inter,27-182,1994,6.1,175,171,4,0,0,28,2,8,0,0,0,0,143,22,10,9,150,8,1,6,139,1,5,7,5,Matches
117,Lassana Coulibaly\85a44ecc,ml MLI,MF,Salernitana,25-307,1996,13.5,411,403,8,6,0,64,3,5,0,0,0,0,308,47,56,26,353,12,2,5,332,2,6,16,13,Matches
118,Mamadou Coulibaly\c976160c,sn SEN,MFFW,Salernitana,23-008,1999,8.2,278,275,3,2,0,58,6,5,0,0,0,0,186,53,39,61,199,11,1,0,206,1,2,10,22,Matches
119,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,27-228,1994,21.0,730,470,260,77,0,36,13,0,0,0,0,0,264,29,437,79,530,1,0,71,475,7,23,4,1,Matches
120,Domenico Criscito\35dd6d80,it ITA,DF,Genoa,35-043,1986,14.4,798,687,111,41,0,83,20,21,4,2,1,1,473,137,188,590,92,39,58,3,626,10,15,15,14,Matches
121,Bryan Cristante\16657b95,it ITA,MF,Roma,26-345,1995,18.8,1115,1066,49,46,2,160,40,10,0,0,0,0,772,113,230,102,923,52,3,1,925,3,16,27,13,Matches
122,Domen Črnigoj\22cd43d2,si SVN,MF,Venezia,26-085,1995,12.1,425,417,8,3,0,88,10,15,0,0,0,0,297,50,78,77,310,18,5,1,313,1,9,17,27,Matches
123,Giovanni Crociata\8c964914,it ITA,FW,Empoli,24-184,1997,0.2,9,9,0,0,0,1,0,0,0,0,0,0,8,1,0,0,9,0,0,0,7,0,1,0,0,Matches
124,Juan Cuadrado\0ab1f153,co COL,DFMF,Juventus,33-261,1988,18.0,1265,1115,150,41,0,88,79,57,33,15,13,1,883,163,219,130,1017,23,76,7,1082,1,9,31,18,Matches
125,Mickaël Cuisance\5722eced,fr FRA,MF,Venezia,22-179,1999,3.2,119,108,11,6,0,22,5,6,1,1,0,0,87,12,20,88,20,3,2,1,92,0,1,6,3,Matches
126,Patrick Cutrone\a4fe8cda,it ITA,FW,Empoli,24-039,1998,11.1,191,171,20,1,0,45,5,17,0,0,0,0,131,31,29,33,141,7,3,4,129,1,3,7,14,Matches
127,Danilo D'Ambrosio\44eb9093,it ITA,DF,Inter,33-155,1988,5.7,410,395,15,11,0,33,18,3,0,0,0,0,332,31,47,116,275,11,4,1,377,0,5,4,4,Matches
128,Mikkel Damsgaard\215f3907,dk DEN,MFFW,Sampdoria,21-223,2000,5.7,231,227,4,1,1,56,1,9,0,0,0,0,161,40,30,29,188,5,3,2,178,4,4,9,5,Matches
129,Danilo\94b2001f,br BRA,DFMF,Juventus,30-211,1991,11.0,744,655,89,20,0,55,18,8,0,0,0,0,515,121,108,60,581,19,69,4,654,6,11,13,10,Matches
130,Ebrima Darboe\cf043a33,gm GAM,MF,Roma,20-250,2001,0.7,40,37,3,3,0,7,3,0,0,0,0,0,37,2,1,3,36,1,0,0,38,0,0,2,0,Matches
131,Matteo Darmian\96e0490d,it ITA,DF,Inter,32-071,1989,12.1,496,404,92,8,2,59,8,27,0,0,0,0,303,114,79,72,317,11,84,4,392,1,2,23,21,Matches
132,Paweł Dawidowicz\16bb656a,pl POL,DF,Hellas Verona,26-267,1995,13.2,600,582,18,12,0,61,8,4,0,0,0,0,445,65,90,196,332,45,6,1,517,3,8,12,12,Matches
