,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
74,Aleksander Buksa\59f2d958,pl POL,FW,Genoa,19-027,2003,0.7,20,1,2,13,6,2,19,0,1,0.0,0,0,11,43,22,1,1,0,0,1,21,12,57.1,4,Matches
75,Alessandro Buongiorno\4ae67f27,it ITA,DF,Torino,22-250,1999,9.0,475,32,182,267,54,10,465,0,2,0.0,0,0,261,1263,628,25,8,0,4,2,299,287,96.0,2,Matches
76,Gianluca Busio\4a0b7f07,us USA,MF,Venezia,19-259,2002,16.4,918,54,296,513,175,18,876,3,10,30.0,3,0,584,2746,1521,44,26,2,13,20,677,603,89.1,27,Matches
77,Liberato Cacace\dd86e8e4,nz NZL,DF,Empoli,21-137,2000,0.2,21,3,11,7,4,1,17,1,1,100.0,1,0,13,35,17,0,0,0,0,2,10,8,80.0,0,Matches
78,Martín Cáceres\e94d79e3,uy URU,DF,Cagliari,34-310,1987,9.2,547,40,191,300,87,9,474,1,2,50.0,1,0,288,1480,740,21,6,0,5,1,310,291,93.9,5,Matches
79,Felipe Caicedo\93b891d1,ec ECU,FW,Genoa,33-159,1988,3.2,113,5,8,54,56,19,109,1,5,20.0,1,0,61,180,90,5,1,3,6,2,142,83,58.5,24,Matches
80,Davide Calabria\2146785a,it ITA,DF,Milan,25-067,1996,11.2,721,22,218,370,177,17,636,5,10,50.0,5,0,420,2027,1212,45,19,4,9,4,456,433,95.0,17,Matches
81,Riccardo Calafiori\aded8e6f,it ITA,DF,Genoa,19-268,2002,0.6,22,3,12,6,4,0,17,0,0,,0,0,4,36,10,0,0,0,0,0,4,3,75.0,0,Matches
82,Riccardo Calafiori\aded8e6f,it ITA,DF,Roma,19-268,2002,1.9,96,2,33,39,33,1,82,2,3,66.7,2,0,65,369,166,11,3,1,1,1,63,58,92.1,4,Matches
83,Mattia Caldara\ac7e640b,it ITA,DF,Venezia,27-282,1994,18.0,944,220,606,358,39,9,916,1,2,50.0,1,0,549,3227,1706,29,7,0,2,6,556,540,97.1,3,Matches
84,Hakan Çalhanoğlu\cd0fa27b,tr TUR,MF,Inter,28-003,1994,15.3,1220,12,189,617,493,28,1093,9,16,56.3,9,0,799,3966,2102,109,39,3,17,16,951,871,91.6,66,Matches
85,José Callejón\78841da9,es ESP,FW,Fiorentina,35-000,1987,13.0,642,5,78,311,294,43,612,7,11,63.6,7,3,455,1810,964,51,25,6,16,10,618,496,80.3,67,Matches
86,Andrea Cambiaso\247ed022,it ITA,DF,Genoa,21-356,2000,18.0,1035,65,322,494,303,35,894,26,45,57.8,29,2,652,4079,2287,120,40,16,20,24,656,572,87.2,42,Matches
87,Matteo Cancellieri\b6a1cdf9,it ITA,MFDF,Hellas Verona,19-364,2002,1.9,56,1,7,26,28,5,55,4,9,44.4,6,1,44,277,143,6,1,1,4,2,61,39,63.9,4,Matches
88,Antonio Candreva\356c9002,it ITA,MFFW,Sampdoria,34-348,1987,22.8,1456,36,209,652,717,69,1288,18,37,48.6,20,2,988,6116,3199,162,65,23,27,35,1227,1034,84.3,112,Matches
