,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
51,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-165,1996,13.4,700,687,13,11,1,88,13,2,0,0,0,0,595,47,58,72,596,19,2,1,623,1,4,18,8,Matches
52,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-053,1996,22.6,637,549,88,15,4,134,63,42,62,54,1,2,370,98,169,463,121,20,5,2,432,3,8,26,33,Matches
53,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-229,2002,1.6,56,50,6,5,0,10,0,0,0,0,0,0,34,9,13,26,24,1,1,0,38,0,5,2,2,Matches
54,Armando Broja\97220da2,al ALB,FW,Southampton,20-154,2001,11.7,205,203,2,0,0,79,0,11,0,0,0,0,100,52,53,10,112,37,0,1,120,0,3,13,12,Matches
55,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-054,1995,15.4,531,516,15,3,1,99,18,9,6,5,0,1,298,83,150,55,402,48,2,2,395,4,7,17,15,Matches
56,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-000,2001,1.0,64,61,3,1,0,7,0,4,0,0,0,0,54,6,4,60,1,0,2,1,49,0,0,6,2,Matches
57,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-048,1996,14.4,563,521,42,9,4,117,17,16,16,8,4,1,418,69,76,68,468,7,4,4,432,2,10,39,15,Matches
58,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-278,1992,11.4,625,606,19,12,1,55,13,1,0,0,0,0,464,47,114,497,60,40,6,1,510,1,11,17,9,Matches
59,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3.0,105,62,43,11,0,7,2,0,0,0,0,0,57,0,48,22,67,0,0,12,69,0,2,1,1,Matches
60,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-148,1993,1.7,78,68,10,2,0,17,1,2,0,0,0,0,42,13,23,6,52,7,8,0,53,0,10,1,2,Matches
61,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2.0,59,41,18,5,0,1,1,0,0,0,0,0,17,0,42,7,50,0,0,0,39,0,2,1,0,Matches
62,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24-332,1997,5.8,94,87,7,0,0,43,0,0,0,0,0,0,44,31,19,6,51,9,1,7,60,1,3,5,4,Matches
63,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-260,1994,22.9,2115,1908,207,33,5,161,66,62,1,1,0,0,1468,314,333,238,1618,59,173,4,1785,7,32,70,47,Matches
64,Sergi Canós\1137759d,es ESP,DF,Brentford,25-009,1997,19.0,620,570,50,10,3,106,19,43,15,10,3,0,333,108,179,75,488,27,24,1,368,1,17,32,50,Matches
65,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23-349,1998,4.9,154,148,6,3,2,21,2,3,0,0,0,0,108,25,21,15,124,8,3,1,127,0,1,6,3,Matches
66,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-188,1997,21.8,911,694,217,26,0,92,38,62,1,0,0,0,440,168,303,71,576,52,190,2,631,2,22,27,25,Matches
67,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-068,1995,14.1,707,591,116,6,0,113,9,10,1,0,1,0,414,141,152,67,460,54,109,1,562,1,11,32,16,Matches
