,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
65,Iker Benito\50cbc806,es ESP,MFFW,Osasuna,19-185,2002,0.3,6,9,66.7,55,32,4,5,80.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
66,Pedro Benito\a7416105,es ESP,FW,Cádiz,21-321,2000,0.3,4,6,66.7,60,12,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,2,0,0,1,Matches
67,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,34-054,1987,18.9,678,803,84.4,9948,2179,403,462,87.2,202,234,86.3,45,55,81.8,7,5.7,+1.3,39,32,60,4,90,Matches
68,Yuri Berchiche\b6e50615,es ESP,MF,Athletic Club,32-001,1990,0.1,1,1,100.0,25,8,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
69,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,26-222,1995,13.9,330,514,64.2,5152,1842,184,218,84.4,107,153,69.9,29,107,27.1,2,2.3,-0.3,18,18,11,5,34,Matches
70,Pedro Bigas\697295b1,es ESP,DF,Elche,31-149,1990,10.1,488,552,88.4,10441,3888,149,163,91.4,254,273,93.0,82,108,75.9,0,0.1,-0.1,1,28,3,1,25,Matches
71,Blanco\506daeac,es ESP,MF,Real Madrid,21-203,2000,0.3,17,18,94.4,277,37,8,8,100.0,8,9,88.9,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
72,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18.0,462,618,74.8,13787,6449,63,63,100.0,235,238,98.7,163,316,51.6,1,0.5,+0.5,1,3,0,0,0,Matches
73,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,25-348,1996,15.1,241,334,72.2,3713,532,141,174,81.0,66,94,70.2,23,40,57.5,3,1.7,+1.3,15,13,9,0,19,Matches
74,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,30-251,1991,2.5,43,54,79.6,647,104,26,29,89.7,15,20,75.0,1,2,50.0,1,1.3,-0.3,2,1,2,0,3,Matches
75,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,29-364,1992,17.2,442,593,74.5,7102,1515,228,280,81.4,164,215,76.3,33,51,64.7,1,1.1,-0.1,18,33,13,3,37,Matches
