,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
62,Héctor Bellerín\f874dd44,es ESP,DF,Betis,26-329,1995,14.7,709,563,146,14,0,83,9,25,0,0,0,0,386,178,145,59,473,30,132,2,535,1,7,31,34,Matches
63,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,23-008,1999,16.4,990,944,46,29,0,135,31,7,4,0,2,0,777,96,117,85,850,34,1,8,876,1,14,15,16,Matches
64,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,31-270,1990,6.6,114,106,8,0,1,28,7,6,0,0,0,0,61,26,27,14,80,7,1,3,77,1,5,8,4,Matches
65,Iker Benito\50cbc806,es ESP,MFFW,Osasuna,19-185,2002,0.3,9,9,0,0,0,2,0,1,0,0,0,0,5,3,1,5,3,0,0,0,6,0,0,0,1,Matches
66,Pedro Benito\a7416105,es ESP,FW,Cádiz,21-321,2000,0.3,6,6,0,0,0,4,0,0,0,0,0,0,1,2,3,1,1,1,0,0,4,0,0,1,0,Matches
67,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,34-054,1987,18.9,803,761,42,2,2,113,12,17,6,0,0,0,655,94,54,122,652,13,3,9,678,7,16,40,21,Matches
68,Yuri Berchiche\b6e50615,es ESP,MF,Athletic Club,32-001,1990,0.1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Matches
69,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,26-222,1995,13.9,514,449,65,14,2,87,17,43,50,16,14,3,290,74,150,42,425,20,1,3,330,8,10,25,23,Matches
70,Pedro Bigas\697295b1,es ESP,DF,Elche,31-149,1990,10.1,552,526,26,26,0,34,14,1,0,0,0,0,440,27,85,302,205,29,0,2,488,0,9,7,5,Matches
71,Blanco\506daeac,es ESP,MF,Real Madrid,21-203,2000,0.3,18,18,0,0,0,0,0,0,0,0,0,0,18,0,0,1,17,0,0,0,17,0,0,1,0,Matches
72,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18.0,618,450,168,38,0,36,24,0,0,0,0,0,356,18,244,411,106,0,0,63,462,2,23,4,0,Matches
73,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,25-348,1996,15.1,334,309,25,1,0,109,12,8,0,0,0,0,245,46,43,58,233,14,1,11,241,3,10,18,15,Matches
74,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,30-251,1991,2.5,54,52,2,1,0,13,1,1,0,0,0,0,37,12,5,7,41,2,1,1,43,0,0,3,1,Matches
75,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,29-364,1992,17.2,593,563,30,4,1,138,9,18,0,0,0,0,398,101,94,96,415,42,3,7,442,2,12,21,39,Matches
76,Claudio Bravo\10072610,cl CHI,GK,Betis,38-304,1983,9.0,286,198,88,39,0,21,13,0,0,0,0,0,108,14,164,22,222,0,0,26,183,2,9,5,0,Matches
77,Yan Brice Eteki\3d688b46,cm CMR,MF,Granada,24-169,1997,1.5,53,53,0,0,0,23,2,0,0,0,0,0,34,8,11,5,41,1,0,1,39,0,1,2,1,Matches
78,Bryan\7b5ab7f2,es ESP,FWMF,Valencia,21-000,2001,1.0,32,27,5,2,1,6,2,3,3,0,2,0,13,9,10,27,1,1,0,2,18,0,1,2,2,Matches
79,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,30-204,1991,7.3,143,138,5,0,0,64,0,4,0,0,0,0,61,35,47,78,7,16,0,4,88,0,5,1,7,Matches
80,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,33-210,1988,20.6,1598,1531,67,65,1,208,57,2,0,0,0,0,1198,165,235,272,1232,59,2,7,1391,11,23,39,14,Matches
81,Adrián Butzke\505dce2b,es ESP,FW,Granada,22-318,1999,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,26-298,1995,2.7,78,75,3,3,0,8,6,0,0,0,0,0,44,6,28,7,61,8,0,0,58,0,4,1,1,Matches
83,Leandro Cabrera\69cbc8b6,uy URU,DF,Espanyol,30-239,1991,22.0,1098,1014,84,50,0,81,34,1,0,0,0,0,682,74,342,878,136,49,15,1,836,9,31,26,17,Matches
84,Martín Cáceres\e94d79e3,uy URU,DF,Levante,34-310,1987,0.5,45,43,2,2,0,6,2,0,0,0,0,0,33,4,8,13,27,3,0,0,41,0,0,0,0,Matches
85,Cala\fe05804b,es ESP,DF,Cádiz,32-077,1989,10.0,273,257,16,15,0,21,18,0,0,0,0,0,155,23,95,25,210,25,1,2,200,2,11,9,1,Matches
86,Calderón\da4e70e5,es ESP,DF,Betis,22-035,2000,0.7,47,43,4,0,0,4,2,3,0,0,0,0,34,6,7,34,7,1,4,0,43,0,0,0,1,Matches
87,Fernando Calero\41b3069f,es ESP,DF,Espanyol,26-150,1995,2.3,133,128,5,5,0,20,1,0,0,0,0,0,94,15,24,24,97,8,0,0,107,1,4,4,3,Matches
88,Víctor Camarasa\b2d03887,es ESP,MFFW,Betis,27-259,1994,1.2,55,54,1,1,0,7,0,0,0,0,0,0,44,7,4,3,48,2,0,0,47,0,0,1,2,Matches
89,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Real Madrid,19-093,2002,5.7,368,362,6,4,2,52,12,2,0,0,0,0,290,37,41,321,26,9,1,2,329,0,4,4,6,Matches
90,José Campaña\61220da2,es ESP,MF,Levante,28-256,1993,11.4,626,563,63,32,0,89,27,18,28,12,8,1,423,82,121,87,498,24,3,2,512,3,16,17,9,Matches
91,Sergio Canales\a6de370d,es ESP,FWMF,Betis,30-360,1991,19.3,1155,1122,33,21,4,213,36,30,5,2,3,0,850,110,195,1018,99,18,6,4,959,4,20,31,30,Matches
92,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,21-248,2000,3.5,55,51,4,0,0,22,2,3,0,0,0,0,43,9,3,7,45,1,1,1,39,0,1,5,5,Matches
93,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,33-215,1988,17.1,873,859,14,13,0,145,21,2,0,0,0,0,710,64,99,147,667,31,1,2,775,6,5,27,9,Matches
94,Isaac Carcelen\c4b888df,es ESP,DFMF,Cádiz,28-294,1993,15.3,618,485,133,18,0,60,15,23,4,1,3,0,317,143,158,67,399,32,111,3,460,1,10,25,19,Matches
95,Cárdenas\e1846dde,es ESP,GK,Levante,24-320,1997,9.0,282,183,99,34,0,17,15,0,0,0,0,0,145,14,123,24,205,0,0,38,196,1,10,6,1,Matches
96,Carlo\8249ff06,es ESP,MF,Villarreal,20-364,2001,0.1,4,4,0,0,0,1,0,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0,0,0,Matches
97,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,28-333,1993,22.0,1523,1490,33,28,2,120,74,1,0,0,0,0,1177,84,262,241,1188,54,5,5,1351,5,20,15,6,Matches
98,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,28-160,1993,18.5,820,695,125,37,5,113,19,51,28,13,7,0,587,122,111,83,645,19,59,5,641,7,17,33,34,Matches
99,Guido Carrillo\8f898ba8,ar ARG,FWMF,Elche,30-262,1991,5.9,134,130,4,0,0,59,0,1,0,0,0,0,72,36,26,5,82,17,0,5,87,4,5,5,9,Matches
100,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,30-031,1992,9.5,679,582,97,8,0,62,12,21,0,0,0,0,447,148,84,30,531,24,89,1,577,3,13,21,17,Matches
