,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
64,Brian Brobbey\4c184730,nl NED,FW,RB Leipzig,20-010,2002,1.5,0,4,0,0.0,2.75,0.00,0.00,,7.8,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
65,John Brooks\e27da244,us USA,DF,Wolfsburg,29-014,1993,16.1,0,7,1,14.3,0.43,0.06,0.00,0.00,9.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
66,Daniel Brosinski\a7813ac4,de GER,DF,Mainz 05,33-209,1988,3.3,0,1,0,0.0,0.30,0.00,0.00,,45.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
67,Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,27-359,1994,19.0,0,8,0,0.0,0.42,0.00,0.00,,26.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
68,Jacob Bruun Larsen\4e204552,dk DEN,FWMF,Hoffenheim,23-145,1998,5.2,3,11,5,45.5,2.12,0.97,0.27,0.60,13.1,0,0,0,1.8,1.8,0.16,+1.2,+1.2,Matches
69,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,Delano Burgzorg\05e2d5ea,nl NED,MF,Mainz 05,23-096,1998,0.0,0,1,0,0.0,22.50,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
71,Jonathan Burkardt\05f99a4a,de GER,FW,Mainz 05,21-215,2000,17.7,7,42,22,52.4,2.38,1.25,0.17,0.32,13.5,0,0,0,6.9,6.9,0.16,+0.1,+0.1,Matches
72,Daniel Caligiuri\d1273f09,it ITA,MFDF,Augsburg,34-027,1988,12.6,2,21,8,38.1,1.66,0.63,0.00,0.00,24.9,4,2,2,2.5,1.0,0.05,-0.5,-1.0,Matches
73,Emre Can\a65ce836,de GER,MFDF,Dortmund,28-030,1994,8.1,2,5,1,20.0,0.62,0.12,0.00,0.00,26.9,0,2,2,1.6,0.1,0.02,+0.4,-0.1,Matches
74,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
75,Gonzalo Castro\68829001,de GER,MF,Arminia,34-245,1987,0.5,1,2,1,50.0,3.75,1.87,0.50,1.00,25.8,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
76,Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,31-319,1990,9.8,0,8,2,25.0,0.81,0.20,0.00,0.00,12.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
77,Max Christiansen\e7b899b8,de GER,MF,Greuther Fürth,25-139,1996,13.5,0,4,0,0.0,0.30,0.00,0.00,,24.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
78,Kingsley Coman\042e8a49,fr FRA,FWDF,Bayern Munich,25-243,1996,7.5,4,30,12,40.0,3.99,1.60,0.13,0.33,15.9,0,0,0,3.2,3.2,0.11,+0.8,+0.8,Matches
79,Lucas Copado\8356931a,de GER,FW,Bayern Munich,18-032,2004,0.2,0,1,0,0.0,5.63,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
80,Sergio Córdova\229cd98a,ve VEN,FWMF,Augsburg,24-186,1997,3.6,0,7,1,14.3,1.92,0.27,0.00,0.00,10.0,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
81,Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,28-213,1993,5.3,0,1,0,0.0,0.19,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
82,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,20-358,2001,10.9,0,13,3,23.1,1.19,0.27,0.00,0.00,16.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
83,Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,22-179,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,22-260,1999,0.7,0,3,1,33.3,4.22,1.41,0.00,0.00,8.8,0,0,0,0.7,0.7,0.24,-0.7,-0.7,Matches
85,Rafael Czichos\b0a0698b,de GER,DF,Köln,31-273,1990,15.6,0,2,0,0.0,0.13,0.00,0.00,,6.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
86,Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,22-284,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,29-273,1992,8.9,3,21,7,33.3,2.36,0.79,0.14,0.43,11.9,0,0,0,2.6,2.6,0.13,+0.4,+0.4,Matches
88,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,26-041,1996,13.3,2,18,3,16.7,1.36,0.23,0.11,0.67,22.3,0,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
89,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,19-364,2002,7.0,0,3,2,66.7,0.43,0.29,0.00,0.00,10.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
90,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,31-187,1990,12.0,1,13,5,38.5,1.09,0.42,0.08,0.20,22.7,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
91,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,21-101,2000,14.1,0,16,6,37.5,1.14,0.43,0.00,0.00,14.0,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches
92,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,30-007,1992,0.1,0,1,1,100.0,10.00,10.00,0.00,0.00,14.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
93,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,30-161,1991,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,28-223,1993,16.2,1,22,8,36.4,1.36,0.49,0.00,0.00,25.4,3,1,2,2.9,1.4,0.06,-1.9,-1.4,Matches
95,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,23-323,1998,5.0,1,9,3,33.3,1.80,0.60,0.11,0.33,13.6,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches
96,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,29-119,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
97,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,22-219,1999,17.9,9,37,19,51.4,2.06,1.06,0.24,0.47,17.3,0,0,0,4.9,4.9,0.13,+4.1,+4.1,Matches
98,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,31-355,1990,3.1,0,7,3,42.9,2.27,0.97,0.00,0.00,16.5,1,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches
99,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,23-234,1998,1.5,0,1,0,0.0,0.65,0.00,0.00,,20.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
100,Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,25-010,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,24-027,1998,16.2,1,10,1,10.0,0.62,0.06,0.10,1.00,28.0,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
102,Ondrej Duda\79ca3e23,sk SVK,MF,Köln,27-068,1994,14.4,2,35,13,37.1,2.42,0.90,0.06,0.15,19.2,0,0,0,3.1,3.1,0.09,-1.1,-1.1,Matches
103,Jeremy Dudziak\5a8d6540,tn TUN,MFFW,Greuther Fürth,26-167,1995,9.8,2,12,3,25.0,1.22,0.31,0.17,0.67,15.0,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Matches
104,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,29-275,1992,5.3,0,1,0,0.0,0.19,0.00,0.00,,35.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
105,Maximilian Eggestein\beb882a8,de GER,MF,Freiburg,25-065,1996,13.0,1,13,3,23.1,1.00,0.23,0.08,0.33,19.3,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
106,Lilian Egloff\2f7fec15,de GER,FWMF,Stuttgart,19-175,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,26-262,1995,3.4,0,2,0,0.0,0.59,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
108,Jurgen Ekkelenkamp\73d6a176,nl NED,MFFW,Hertha BSC,21-312,2000,6.8,3,12,4,33.3,1.76,0.59,0.25,0.75,12.8,0,0,0,1.9,1.9,0.16,+1.1,+1.1,Matches
109,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,25-134,1996,17.3,1,10,1,10.0,0.58,0.06,0.10,1.00,8.7,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
110,Breel Embolo\0b4f388a,ch SUI,FW,M'Gladbach,24-362,1997,13.2,2,21,7,33.3,1.59,0.53,0.10,0.29,12.4,0,0,0,4.4,4.4,0.21,-2.4,-2.4,Matches
111,Keita Endo\1a83027b,jp JPN,MF,Union Berlin,24-081,1997,0.4,0,2,1,50.0,4.62,2.31,0.00,0.00,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
112,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,29-002,1993,20.8,1,22,7,31.8,1.06,0.34,0.05,0.14,17.6,0,0,0,1.6,1.4,0.06,-0.6,-0.4,Matches
113,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,18-197,2003,1.4,1,6,1,16.7,4.39,0.73,0.17,1.00,15.5,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
115,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,18-166,2003,0.8,0,3,1,33.3,3.80,1.27,0.00,0.00,18.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
116,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,22-330,1999,0.4,0,1,0,0.0,2.81,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
117,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,24-155,1997,5.6,0,2,0,0.0,0.36,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
118,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,25-302,1996,3.1,0,4,2,50.0,1.27,0.64,0.00,0.00,43.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
119,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,33-010,1989,1.6,1,3,2,66.7,1.82,1.22,0.33,0.50,16.6,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches
120,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
121,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,30-111,1991,10.6,4,29,8,27.6,2.73,0.75,0.03,0.13,18.8,2,3,3,5.8,3.5,0.12,-1.8,-2.5,Matches
122,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,27-007,1995,9.5,2,25,6,24.0,2.63,0.63,0.08,0.33,17.4,1,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches
123,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,24-040,1998,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
124,Raphael Framberger\626fab5f,de GER,DFMF,Augsburg,26-158,1995,6.2,0,1,0,0.0,0.16,0.00,0.00,,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
125,Marvin Friedrich\b77f44a4,de GER,DF,M'Gladbach,26-060,1995,3.0,0,3,0,0.0,1.00,0.00,0.00,,16.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
126,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,26-060,1995,13.0,0,15,4,26.7,1.15,0.31,0.00,0.00,12.8,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
127,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,21-063,2000,18.8,1,8,3,37.5,0.42,0.16,0.13,0.33,19.8,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
128,Chris Führich\0cf778df,de GER,FWDF,Stuttgart,24-033,1998,8.4,1,9,4,44.4,1.07,0.47,0.11,0.25,20.9,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
