,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
68,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,19-063,2002,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
69,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22,22,1980,22.0,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches
70,Ludovic Blas\6191093d,fr FRA,FWMF,Nantes,24-042,1997,21,21,1821,20.2,7,1,5,2,2,5,0,0.35,0.05,0.40,0.25,0.30,6.8,5.3,1.7,7.0,0.34,0.08,0.42,0.26,0.34,Matches
71,Myron Boadu\5b479568,nl NED,FW,Monaco,21-028,2001,19,6,686,7.6,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,2.9,2.9,0.2,3.1,0.38,0.02,0.41,0.38,0.41,Matches
72,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,33-161,1988,17,16,1341,14.9,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,1.1,1.3,0.01,0.08,0.09,0.01,0.09,Matches
73,Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,26-150,1995,4,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,Quentin Boisgard\f6496133,fr FRA,MF,Lorient,24-331,1997,15,5,584,6.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.8,2.4,0.10,0.27,0.37,0.10,0.37,Matches
75,Charles Boli\bbdd999a,fr FRA,MF,Lens,23-165,1998,4,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.13,0.13,0.00,0.13,Matches
76,Sven Botman\ccce7025,nl NED,DF,Lille,22-030,2000,16,16,1440,16.0,3,1,3,0,0,1,0,0.19,0.06,0.25,0.19,0.25,1.3,1.3,0.3,1.6,0.08,0.02,0.10,0.08,0.10,Matches
77,Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,27-092,1994,19,14,1206,13.4,3,0,3,0,0,2,1,0.22,0.00,0.22,0.22,0.22,4.5,4.5,0.8,5.3,0.33,0.06,0.40,0.33,0.40,Matches
78,Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,22-141,1999,17,14,1107,12.3,2,1,2,0,0,5,0,0.16,0.08,0.24,0.16,0.24,0.8,0.8,2.1,2.9,0.06,0.17,0.24,0.06,0.24,Matches
79,Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,31-357,1990,17,14,1216,13.5,1,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.6,0.6,2.3,2.9,0.04,0.17,0.22,0.04,0.22,Matches
80,Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,28-147,1993,19,18,1527,17.0,5,3,3,2,2,4,0,0.29,0.18,0.47,0.18,0.35,5.5,4.0,4.3,8.3,0.33,0.25,0.58,0.24,0.49,Matches
81,Farid Boulaya\a0791826,dz ALG,FWMF,Metz,28-351,1993,13,10,875,9.7,3,1,3,0,0,0,1,0.31,0.10,0.41,0.31,0.41,1.1,1.1,1.6,2.7,0.11,0.17,0.28,0.11,0.28,Matches
82,Ismaëlben Boura\62e02107,fr FRA,DF,Lens,21-181,2000,5,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
83,Benjamin Bourigeaud\20e73fac,fr FRA,MFFW,Rennes,28-028,1994,23,23,1915,21.3,3,5,3,0,0,2,0,0.14,0.23,0.38,0.14,0.38,2.7,2.7,7.6,10.3,0.13,0.36,0.48,0.13,0.48,Matches
84,Redwan Bourles\5c7895a0,fr FRA,MFFW,Lorient,19-040,2003,4,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,22-063,1999,6,1,161,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.13,0.13,0.00,0.13,Matches
86,Bilal Brahimi\02bcaf8e,fr FRA,FWDF,Angers,21-334,2000,9,3,338,3.8,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.5,0.5,0.7,1.2,0.12,0.20,0.32,0.12,0.32,Matches
87,Bilal Brahimi\02bcaf8e,fr FRA,MF,Nice,21-334,2000,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
88,Lilian Brassier\5b146df3,fr FRA,DF,Brest,22-101,1999,17,12,1175,13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches
89,Jimmy Briand\f83c8d6c,fr FRA,FWMF,Bordeaux,36-193,1985,12,1,180,2.0,2,1,1,1,1,1,0,1.00,0.50,1.50,0.50,1.00,1.4,0.7,0.6,1.2,0.72,0.28,1.00,0.34,0.62,Matches
90,Dylan Bronn\edd81e2a,tn TUN,DF,Metz,26-237,1995,18,17,1530,17.0,1,1,1,0,0,8,1,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.1,1.2,0.07,0.01,0.07,0.07,0.07,Matches
91,Osman Bukari\eab85789,gh GHA,FWMF,Nantes,23-060,1998,12,6,577,6.4,1,1,1,0,0,0,0,0.16,0.16,0.31,0.16,0.31,0.4,0.4,0.7,1.1,0.06,0.11,0.17,0.06,0.17,Matches
92,Maxime Busi\7b082ec2,be BEL,DF,Reims,22-120,1999,3,2,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.08,0.09,0.01,0.09,Matches
93,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,23-022,1999,5,1,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
94,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
95,Jimmy Cabot\46359159,fr FRA,DF,Angers,27-299,1994,21,21,1856,20.6,0,5,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,0.6,0.6,2.3,3.0,0.03,0.11,0.14,0.03,0.14,Matches
96,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,24-225,1997,22,17,1532,17.0,0,3,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.6,0.6,2.2,2.8,0.03,0.13,0.16,0.03,0.16,Matches
97,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,24-323,1997,4,3,192,2.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25,Matches
98,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,37-024,1985,14,6,602,6.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
99,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,6,5,453,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
100,Jens Cajuste\928a4a61,se SWE,MF,Reims,22-185,1999,2,2,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
101,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,25-147,1996,12,12,1010,11.2,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches
102,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,20-005,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
