,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
359,Ilija Nestorovski\b1236c63,mk MKD,FW,Udinese,31-336,1990,1,0,12,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.33,0.00,1.33,1.33,1.33,Matches
360,Aurélien Nguiamba\de135234,fr FRA,MF,Spezia,23-024,1999,1,0,23,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
361,Dimitris Nikolaou\cf961d8d,gr GRE,DF,Spezia,23-182,1998,22,22,1980,22.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
362,Jean-Pierre Nsame\12e6d21a,cm CMR,MFFW,Venezia,28-286,1993,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
363,Bram Nuytinck\e33f36d5,nl NED,DF,Udinese,31-283,1990,22,20,1734,19.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches
364,Simeon Nwankwo\80dbbd10,ng NGA,FW,Salernitana,29-280,1992,19,10,842,9.4,1,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,3.4,3.4,0.4,3.8,0.36,0.05,0.41,0.36,0.41,Matches
365,M'Bala Nzola\a4948e67,ao ANG,FW,Spezia,25-177,1996,16,9,914,10.2,2,1,2,0,0,2,0,0.20,0.10,0.30,0.20,0.30,2.8,2.8,1.4,4.2,0.28,0.13,0.41,0.28,0.41,Matches
366,Adam Obert\aa25ce92,sk SVK,DFMF,Cagliari,19-172,2002,4,2,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
367,Joel Obi\614c38fb,ng NGA,MF,Salernitana,30-265,1991,18,11,1066,11.8,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,1.7,1.7,1.5,3.1,0.15,0.14,0.29,0.15,0.29,Matches
368,Álvaro Odriozola\1d1691ad,es ESP,DF,Fiorentina,26-059,1995,18,13,1235,13.7,1,1,1,0,0,4,1,0.07,0.07,0.15,0.07,0.15,0.5,0.5,1.8,2.3,0.04,0.13,0.17,0.04,0.17,Matches
369,Stefano Okaka\601ef102,it ITA,FW,Udinese,32-186,1989,2,0,22,0.2,0,1,0,0,0,1,0,0.00,4.09,4.09,0.00,4.09,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches
370,David Okereke\d125f22f,ng NGA,FWMF,Venezia,24-166,1997,19,14,1227,13.6,5,0,5,0,0,1,0,0.37,0.00,0.37,0.37,0.37,3.7,3.7,0.6,4.3,0.27,0.04,0.32,0.27,0.32,Matches
371,Christian Oliva\d3b888e3,uy URU,MF,Cagliari,25-255,1996,4,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
372,Sérgio Oliveira\947e036f,pt POR,MF,Roma,29-254,1992,3,3,236,2.6,2,0,1,1,1,1,0,0.76,0.00,0.76,0.38,0.38,1.4,0.6,1.3,1.9,0.52,0.50,1.01,0.25,0.74,Matches
373,Riccardo Orsolini\e14ec482,it ITA,FWDF,Bologna,25-018,1997,16,11,892,9.9,4,2,3,1,1,1,0,0.40,0.20,0.61,0.30,0.50,2.3,1.5,1.0,2.5,0.23,0.10,0.33,0.15,0.25,Matches
374,Victor Osimhen\8c90fd7a,ng NGA,FW,Napoli,23-044,1998,14,12,978,10.9,6,0,6,0,0,3,1,0.55,0.00,0.55,0.55,0.55,6.4,6.4,0.8,7.2,0.59,0.08,0.66,0.59,0.66,Matches
375,David Ospina\82b1198a,co COL,GK,Napoli,33-164,1988,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
376,Adam Ounas\ed90babd,dz ALG,MFFW,Napoli,25-092,1996,10,1,255,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.9,1.8,0.31,0.32,0.62,0.31,0.62,Matches
377,Daniele Padelli\cf1c23d8,it ITA,GK,Udinese,36-109,1985,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
378,Goran Pandev\d711d04f,mk MKD,FWMF,Genoa,38-199,1983,20,7,843,9.4,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,1.3,2.0,0.07,0.14,0.21,0.07,0.21,Matches
379,Ivor Pandur\457cb02f,hr CRO,GK,Hellas Verona,21-323,2000,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
380,Fabiano Parisi\0967845b,it ITA,DF,Empoli,21-094,2000,12,7,642,7.1,0,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,0.5,0.8,0.04,0.07,0.12,0.04,0.12,Matches
381,Mario Pašalić\e599253a,hr CRO,MFFW,Atalanta,27-002,1995,22,16,1266,14.1,8,5,8,0,0,2,0,0.57,0.36,0.92,0.57,0.92,5.4,5.4,4.7,10.1,0.38,0.34,0.72,0.38,0.72,Matches
382,Patric\f7223718,es ESP,DF,Lazio,28-300,1993,13,8,757,8.4,0,1,0,0,0,5,1,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.5,0.6,0.02,0.05,0.07,0.02,0.07,Matches
383,Rui Patrício\79b0d6a0,pt POR,GK,Roma,33-361,1988,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
384,Leonardo Pavoletti\d37b0350,it ITA,FW,Cagliari,33-077,1988,20,8,899,10.0,4,0,4,0,0,5,0,0.40,0.00,0.40,0.40,0.40,4.6,4.6,0.5,5.1,0.46,0.05,0.51,0.46,0.51,Matches
385,Pedro\3ca7254a,es ESP,FW,Lazio,34-198,1987,23,22,1686,18.7,7,3,7,0,0,4,0,0.37,0.16,0.53,0.37,0.53,4.1,4.1,2.9,7.0,0.22,0.15,0.37,0.22,0.37,Matches
386,João Pedro\81255c03,br BRA,FW,Cagliari,29-339,1992,23,23,2067,23.0,10,3,7,3,4,5,0,0.44,0.13,0.57,0.30,0.44,9.7,6.7,2.7,9.4,0.42,0.12,0.54,0.29,0.41,Matches
