,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
70,Ludovic Blas\6191093d,fr FRA,FWMF,Nantes,24-042,1997,20.2,598,564,34,5,2,129,23,16,2,0,0,0,454,74,70,478,86,15,5,2,467,6,11,34,28,Matches
71,Myron Boadu\5b479568,nl NED,FW,Monaco,21-028,2001,7.6,116,102,14,0,1,41,0,3,0,0,0,0,85,21,10,24,78,5,0,2,90,0,0,8,5,Matches
72,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,33-161,1988,14.9,956,931,25,23,3,57,22,3,0,0,0,0,765,53,138,193,721,30,2,4,842,1,7,26,4,Matches
73,Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,26-150,1995,0.4,24,23,1,0,0,3,0,0,1,0,1,0,16,6,2,0,21,2,0,1,20,0,1,0,1,Matches
74,Quentin Boisgard\f6496133,fr FRA,MF,Lorient,24-331,1997,6.5,260,225,35,10,2,59,9,11,22,6,10,2,172,36,52,16,227,9,2,3,193,1,2,11,8,Matches
75,Charles Boli\bbdd999a,fr FRA,MF,Lens,23-165,1998,0.4,21,19,2,1,0,3,1,1,1,1,0,0,15,2,4,18,2,0,0,1,17,0,1,1,1,Matches
76,Sven Botman\ccce7025,nl NED,DF,Lille,22-030,2000,16.0,956,925,31,29,1,79,38,0,0,0,0,0,771,74,111,656,234,39,2,3,846,1,12,20,12,Matches
77,Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,27-092,1994,13.4,411,381,30,6,0,89,23,33,2,1,0,0,233,85,93,76,261,20,20,5,274,2,14,18,20,Matches
78,Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,22-141,1999,12.3,432,427,5,3,0,101,5,21,0,0,0,0,320,58,54,70,330,20,2,0,331,1,10,15,16,Matches
79,Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,31-357,1990,13.5,918,816,102,66,0,157,52,34,33,21,8,0,646,84,188,756,129,18,0,6,723,6,11,45,16,Matches
80,Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,28-147,1993,17.0,666,555,111,33,3,119,34,27,63,10,26,2,475,68,123,113,521,8,5,11,505,3,12,34,22,Matches
81,Farid Boulaya\a0791826,dz ALG,FWMF,Metz,28-351,1993,9.7,410,351,59,15,1,66,31,19,30,7,19,0,235,51,124,48,336,12,6,1,266,8,14,24,16,Matches
82,Ismaëlben Boura\62e02107,fr FRA,DF,Lens,21-181,2000,1.1,72,65,7,4,0,9,3,2,0,0,0,0,54,6,12,62,3,2,3,0,60,0,0,3,0,Matches
83,Benjamin Bourigeaud\20e73fac,fr FRA,MFFW,Rennes,28-028,1994,21.3,1118,945,173,29,7,167,81,78,119,36,63,6,641,175,302,91,956,32,25,3,787,2,27,58,48,Matches
84,Redwan Bourles\5c7895a0,fr FRA,MFFW,Lorient,19-040,2003,0.2,5,3,2,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0,2,0,3,0,0,2,0,Matches
85,Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,22-063,1999,1.8,95,75,20,3,0,12,3,4,1,0,1,0,60,13,22,66,10,2,16,0,73,0,3,7,1,Matches
86,Bilal Brahimi\02bcaf8e,fr FRA,FWDF,Angers,21-334,2000,3.8,99,88,11,2,0,16,1,13,0,0,0,0,62,20,17,70,14,3,9,1,72,1,1,4,8,Matches
87,Bilal Brahimi\02bcaf8e,fr FRA,MF,Nice,21-334,2000,0.2,10,10,0,0,0,0,0,3,0,0,0,0,6,1,3,10,0,0,0,0,4,0,1,0,2,Matches
88,Lilian Brassier\5b146df3,fr FRA,DF,Brest,22-101,1999,13.1,632,607,25,23,2,50,24,4,0,0,0,0,469,28,135,502,92,23,2,1,544,0,9,8,3,Matches
89,Jimmy Briand\f83c8d6c,fr FRA,FWMF,Bordeaux,36-193,1985,2.0,64,61,3,1,0,14,0,2,0,0,0,0,51,7,6,5,54,3,0,1,57,0,0,0,1,Matches
90,Dylan Bronn\edd81e2a,tn TUN,DF,Metz,26-237,1995,17.0,705,665,40,33,2,59,23,2,0,0,0,0,528,47,130,55,603,29,7,1,588,2,9,16,12,Matches
91,Osman Bukari\eab85789,gh GHA,FWMF,Nantes,23-060,1998,6.4,178,175,3,0,0,33,3,8,2,2,0,0,127,30,21,26,135,9,1,2,132,1,3,6,8,Matches
92,Maxime Busi\7b082ec2,be BEL,DF,Reims,22-120,1999,2.5,117,99,18,0,0,17,3,8,0,0,0,0,74,26,17,14,83,2,18,0,99,0,1,5,1,Matches
93,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,23-022,1999,0.9,61,59,2,2,0,11,1,0,0,0,0,0,48,6,7,11,45,2,0,1,55,0,1,1,0,Matches
94,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1.0,23,16,7,0,0,3,0,0,0,0,0,0,20,0,3,5,12,0,0,6,21,0,0,1,0,Matches
95,Jimmy Cabot\46359159,fr FRA,DF,Angers,27-299,1994,20.6,1305,1096,209,9,2,166,43,49,2,0,1,0,788,278,239,120,961,21,198,1,1034,2,30,46,42,Matches
96,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,24-225,1997,17.0,1066,927,139,14,3,102,56,43,0,0,0,0,607,204,255,271,598,41,125,8,844,1,8,39,19,Matches
97,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,24-323,1997,2.1,79,64,15,4,1,12,9,8,9,4,4,0,42,8,29,2,68,5,0,0,41,0,3,7,1,Matches
98,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,37-024,1985,6.7,246,240,6,6,0,44,2,2,0,0,0,0,190,23,33,23,203,12,0,2,215,1,4,10,4,Matches
99,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,5.0,120,59,61,17,0,2,1,0,0,0,0,0,33,4,83,5,82,0,0,22,70,0,6,0,0,Matches
100,Jens Cajuste\928a4a61,se SWE,MF,Reims,22-185,1999,1.2,38,38,0,0,0,8,2,0,0,0,0,0,30,3,5,7,28,2,0,0,32,0,1,0,0,Matches
101,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,25-147,1996,11.2,872,843,29,22,1,52,33,0,0,0,0,0,736,43,93,210,622,23,5,2,799,3,9,16,6,Matches
102,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,20-005,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches
103,Mahdi Camara\8577e60a,fr FRA,MFDF,Saint-Étienne,23-226,1998,20.4,995,905,90,14,1,138,14,20,0,0,0,0,725,149,121,24,837,40,73,4,842,0,15,39,20,Matches
104,Mamadou Camara\316e70c7,fr FRA,FW,Troyes,21-004,2001,0.4,10,10,0,0,0,3,0,0,0,0,0,0,5,2,3,0,7,0,0,0,8,0,1,0,0,Matches
105,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Rennes,19-093,2002,1.6,75,71,4,2,0,17,0,0,0,0,0,0,60,7,8,64,5,2,2,0,68,0,1,0,1,Matches
106,Fali Candé\3cc4bb19,gw GNB,DF,Metz,24-018,1998,1.0,50,38,12,1,0,5,3,2,3,1,2,0,27,13,10,37,2,3,8,0,34,0,1,2,3,Matches
107,Pierrick Capelle\79b2399c,fr FRA,MFDF,Angers,34-302,1987,7.8,372,328,44,6,0,60,14,6,1,1,0,0,250,67,55,269,42,17,36,1,308,1,6,12,12,Matches
108,Maxence Caqueret\f81ef10d,fr FRA,MF,Lyon,21-361,2000,18.9,1087,1062,25,14,2,179,27,8,8,3,4,0,869,112,106,137,898,38,3,3,940,4,11,36,23,Matches
