,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
66,Daniel Brosinski\a7813ac4,de GER,DF,Mainz 05,33-209,1988,7,3,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.02,0.08,0.10,0.02,0.10,Matches
67,Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,27-359,1994,20,20,1713,19.0,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.2,1.4,0.01,0.06,0.07,0.01,0.07,Matches
68,Jacob Bruun Larsen\4e204552,dk DEN,FWMF,Hoffenheim,23-145,1998,13,6,466,5.2,3,0,3,0,0,0,0,0.58,0.00,0.58,0.58,0.58,1.8,1.8,0.6,2.3,0.34,0.11,0.45,0.34,0.45,Matches
69,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
70,Delano Burgzorg\05e2d5ea,nl NED,MF,Mainz 05,23-096,1998,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.23,0.00,1.23,1.23,1.23,Matches
71,Jonathan Burkardt\05f99a4a,de GER,FW,Mainz 05,21-215,2000,21,20,1590,17.7,7,3,7,0,0,0,0,0.40,0.17,0.57,0.40,0.57,6.9,6.9,2.1,9.0,0.39,0.12,0.51,0.39,0.51,Matches
72,Daniel Caligiuri\d1273f09,it ITA,MFDF,Augsburg,34-027,1988,18,14,1136,12.6,2,2,0,2,2,2,0,0.16,0.16,0.32,0.00,0.16,2.5,1.0,1.4,2.3,0.20,0.11,0.31,0.08,0.19,Matches
73,Emre Can\a65ce836,de GER,MFDF,Dortmund,28-030,1994,12,8,727,8.1,2,0,0,2,2,1,0,0.25,0.00,0.25,0.00,0.00,1.6,0.1,0.2,0.3,0.20,0.02,0.23,0.02,0.04,Matches
74,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19,19,1710,19.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Gonzalo Castro\68829001,de GER,MF,Arminia,34-245,1987,4,0,48,0.5,1,0,1,0,0,0,0,1.87,0.00,1.87,1.87,1.87,0.1,0.1,0.1,0.1,0.12,0.13,0.25,0.12,0.25,Matches
76,Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,31-319,1990,12,11,885,9.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.03,0.06,0.09,0.03,0.09,Matches
77,Max Christiansen\e7b899b8,de GER,MF,Greuther Fürth,25-139,1996,17,12,1212,13.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
78,Kingsley Coman\042e8a49,fr FRA,FWDF,Bayern Munich,25-243,1996,12,8,676,7.5,4,1,4,0,0,0,0,0.53,0.13,0.67,0.53,0.67,3.2,3.2,1.1,4.3,0.42,0.15,0.57,0.42,0.57,Matches
79,Lucas Copado\8356931a,de GER,FW,Bayern Munich,18-032,2004,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.23,0.00,0.23,0.23,0.23,Matches
80,Sergio Córdova\229cd98a,ve VEN,FWMF,Augsburg,24-186,1997,13,2,328,3.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.23,0.04,0.27,0.23,0.27,Matches
81,Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,28-213,1993,7,4,475,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.04,0.02,0.04,Matches
82,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,20-358,2001,14,11,985,10.9,0,1,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.4,1.3,0.08,0.03,0.12,0.08,0.12,Matches
