,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
113,Andrea Conti\8fef5412,it ITA,DF,Sampdoria,27-346,1994,0.5,7,11,63.6,143,89,3,4,75.0,2,4,50.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Matches
114,Andrea Conti\8fef5412,it ITA,DF,Milan,27-346,1994,0.1,4,5,80.0,68,6,3,3,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
115,Diego Coppola\22ae86f9,it ITA,DF,Hellas Verona,18-045,2003,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
116,Joaquín Correa\45b9b619,ar ARG,FW,Inter,27-182,1994,6.1,139,175,79.4,1935,461,87,105,82.9,44,52,84.6,5,8,62.5,1,1.0,0.0,10,11,12,1,20,Matches
117,Lassana Coulibaly\85a44ecc,ml MLI,MF,Salernitana,25-307,1996,13.5,332,411,80.8,5572,1619,155,184,84.2,141,169,83.4,30,42,71.4,0,0.1,-0.1,4,38,8,0,32,Matches
118,Mamadou Coulibaly\c976160c,sn SEN,MFFW,Salernitana,23-008,1999,8.2,206,278,74.1,3610,1083,94,114,82.5,85,104,81.7,23,37,62.2,0,0.2,-0.2,5,23,2,1,22,Matches
119,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,27-228,1994,21.0,475,730,65.1,17207,11984,78,78,100.0,148,151,98.0,249,501,49.7,0,0.0,0.0,0,15,0,0,0,Matches
120,Domenico Criscito\35dd6d80,it ITA,DF,Genoa,35-043,1986,14.4,626,798,78.4,12503,4871,212,234,90.6,323,369,87.5,83,173,48.0,1,0.5,+0.5,6,46,6,1,63,Matches
121,Bryan Cristante\16657b95,it ITA,MF,Roma,26-345,1995,18.8,925,1115,83.0,19883,5651,293,346,84.7,438,492,89.0,183,255,71.8,0,0.9,-0.9,9,133,14,2,117,Matches
122,Domen Črnigoj\22cd43d2,si SVN,MF,Venezia,26-085,1995,12.1,313,425,73.6,5856,1583,151,182,83.0,104,136,76.5,46,72,63.9,0,0.7,-0.7,8,22,5,4,24,Matches
123,Giovanni Crociata\8c964914,it ITA,FW,Empoli,24-184,1997,0.2,7,9,77.8,92,18,5,6,83.3,2,3,66.7,0,0,,0,0.0,0.0,0,1,1,0,1,Matches
124,Juan Cuadrado\0ab1f153,co COL,DFMF,Juventus,33-261,1988,18.0,1082,1265,85.5,22516,7092,396,432,91.7,498,546,91.2,183,269,68.0,0,2.8,-2.8,34,76,28,14,108,Matches
125,Mickaël Cuisance\5722eced,fr FRA,MF,Venezia,22-179,1999,3.2,92,119,77.3,1844,484,39,43,90.7,34,44,77.3,18,26,69.2,0,0.3,-0.3,4,10,3,0,8,Matches
126,Patrick Cutrone\a4fe8cda,it ITA,FW,Empoli,24-039,1998,11.1,129,191,67.5,2114,403,71,88,80.7,41,61,67.2,14,25,56.0,0,0.7,-0.7,6,5,6,1,14,Matches
