,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
50,Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,20-092,2001,0.4,17,0,1,12,5,2,17,0,0,,0,0,14,53,44,1,1,0,0,4,23,13,56.5,4,Matches
51,Danny Blum\eb61713c,de GER,FW,Bochum,31-035,1991,2.5,144,1,15,63,75,9,127,2,3,66.7,2,0,82,372,234,11,5,2,5,4,132,94,71.2,17,Matches
52,Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,34-342,1987,4.3,254,12,56,149,58,11,238,2,3,66.7,2,0,135,426,152,4,3,0,5,10,176,149,84.7,8,Matches
53,Herbert Bockhorn\5ad8c360,de GER,DFMF,Bochum,27-011,1995,5.2,272,15,80,132,79,5,238,7,13,53.8,8,0,161,1122,680,26,9,4,7,2,163,133,81.6,6,Matches
54,Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,27-326,1994,12.7,718,13,161,390,208,10,666,13,24,54.2,13,0,448,1894,967,33,10,3,20,21,535,446,83.4,39,Matches
55,Tarsis Bonga\6ebbc28a,de GER,FW,Bochum,25-032,1997,0.0,6,0,0,1,5,1,6,0,0,,0,0,4,30,5,0,0,0,0,0,5,4,80.0,0,Matches
56,Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,18-176,2003,0.1,7,0,1,2,4,0,7,0,0,,0,0,4,12,1,0,0,0,0,0,4,4,100.0,0,Matches
57,Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,22-326,1999,12.7,781,102,482,300,23,20,759,2,3,66.7,2,0,447,1709,610,7,1,0,1,2,505,495,98.0,4,Matches
58,Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,26-149,1995,18.6,739,7,49,364,364,90,700,19,39,48.7,22,0,467,2022,829,46,18,8,63,32,970,527,54.3,157,Matches
59,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,31-075,1990,11.1,591,155,427,187,11,11,577,0,2,0.0,1,0,303,1602,723,5,0,0,3,0,364,356,97.8,1,Matches
60,Julian Brandt\a167537f,de GER,MFFW,Dortmund,25-285,1996,14.1,1012,19,120,539,407,39,942,23,40,57.5,24,2,669,3184,1439,81,18,8,33,22,863,733,84.9,97,Matches
61,Iker Bravo\db8c8860,es ESP,FW,Leverkusen,17-029,2005,0.1,2,0,0,1,1,0,2,0,0,,0,0,1,0,0,0,0,0,1,0,1,1,100.0,0,Matches
62,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4.0,141,117,140,1,0,0,102,0,0,,0,0,61,207,75,0,0,0,1,0,57,57,100.0,0,Matches
63,Josip Brekalo\d4a2533d,hr CRO,MF,Wolfsburg,23-233,1998,0.2,22,0,4,9,13,1,22,0,0,,0,0,16,68,26,1,0,0,0,2,17,15,88.2,3,Matches
64,Brian Brobbey\4c184730,nl NED,FW,RB Leipzig,20-010,2002,1.5,56,1,1,30,29,10,54,1,1,100.0,1,0,36,142,59,2,2,1,7,2,74,40,54.1,16,Matches
65,John Brooks\e27da244,us USA,DF,Wolfsburg,29-014,1993,16.1,1166,162,618,574,51,21,1132,5,6,83.3,5,1,723,4111,2096,46,8,1,5,1,789,772,97.8,2,Matches
66,Daniel Brosinski\a7813ac4,de GER,DF,Mainz 05,33-209,1988,3.3,217,12,64,92,75,1,170,0,2,0.0,0,0,120,616,380,15,8,1,5,2,129,118,91.5,9,Matches
67,Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,27-359,1994,19.0,1091,92,382,484,267,8,878,13,22,59.1,17,1,490,2256,982,44,12,2,12,12,484,436,90.1,12,Matches
68,Jacob Bruun Larsen\4e204552,dk DEN,FWMF,Hoffenheim,23-145,1998,5.2,233,3,31,102,121,26,222,5,14,35.7,7,2,164,1222,681,36,12,8,10,6,226,172,76.1,29,Matches
69,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13.0,554,483,551,4,0,0,407,0,0,,0,0,242,1283,839,0,0,0,0,0,240,239,99.6,0,Matches
70,Delano Burgzorg\05e2d5ea,nl NED,MF,Mainz 05,23-096,1998,0.0,6,0,1,3,4,2,6,2,3,66.7,2,0,4,3,1,0,0,0,0,1,4,3,75.0,0,Matches
71,Jonathan Burkardt\05f99a4a,de GER,FW,Mainz 05,21-215,2000,17.7,604,16,57,300,287,90,582,19,42,45.2,22,1,425,2041,1195,64,14,17,60,38,825,427,51.8,141,Matches
72,Daniel Caligiuri\d1273f09,it ITA,MFDF,Augsburg,34-027,1988,12.6,687,30,142,319,266,19,584,21,37,56.8,24,0,394,2239,1285,67,20,3,33,25,457,349,76.4,52,Matches
73,Emre Can\a65ce836,de GER,MFDF,Dortmund,28-030,1994,8.1,707,33,212,453,90,4,694,11,13,84.6,12,1,518,2423,1040,33,7,0,7,8,544,520,95.6,12,Matches
74,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19.0,799,663,796,6,0,0,637,0,0,,0,0,469,1944,880,0,0,0,0,0,452,452,100.0,0,Matches
75,Gonzalo Castro\68829001,de GER,MF,Arminia,34-245,1987,0.5,37,2,9,14,15,1,32,0,1,0.0,0,0,18,79,47,3,0,0,2,1,27,20,74.1,3,Matches
76,Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,31-319,1990,9.8,485,37,154,202,155,23,385,2,5,40.0,2,0,207,896,496,24,14,2,9,3,281,238,84.7,14,Matches
77,Max Christiansen\e7b899b8,de GER,MF,Greuther Fürth,25-139,1996,13.5,703,48,212,445,77,5,685,4,7,57.1,4,0,344,1577,613,24,7,0,7,10,391,366,93.6,8,Matches
78,Kingsley Coman\042e8a49,fr FRA,FWDF,Bayern Munich,25-243,1996,7.5,495,5,37,178,317,78,478,19,31,61.3,20,1,388,2200,1290,87,16,29,13,25,475,398,83.8,87,Matches
79,Lucas Copado\8356931a,de GER,FW,Bayern Munich,18-032,2004,0.2,7,0,3,2,3,1,7,1,1,100.0,1,0,7,29,9,2,1,1,0,0,8,5,62.5,0,Matches
80,Sergio Córdova\229cd98a,ve VEN,FWMF,Augsburg,24-186,1997,3.6,110,4,14,47,56,16,104,3,7,42.9,3,0,64,322,216,13,3,2,12,11,157,70,44.6,18,Matches
81,Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,28-213,1993,5.3,268,23,90,121,71,4,223,2,4,50.0,3,0,131,854,467,18,3,2,3,4,125,112,89.6,5,Matches
82,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,20-358,2001,10.9,458,7,95,199,193,27,417,18,38,47.4,22,3,333,1551,833,40,11,6,35,18,428,294,68.7,61,Matches
83,Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,22-179,1999,0.1,13,0,4,7,3,2,13,1,2,50.0,1,0,9,92,34,1,0,0,0,1,13,10,76.9,1,Matches
84,Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,22-260,1999,0.7,27,0,3,17,10,4,23,2,2,100.0,2,0,19,63,33,3,1,0,2,5,28,15,53.6,2,Matches
85,Rafael Czichos\b0a0698b,de GER,DF,Köln,31-273,1990,15.6,1214,172,735,546,37,14,1170,2,3,66.7,2,0,737,5319,2963,59,5,0,2,3,806,787,97.6,3,Matches
86,Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,22-284,1999,1.5,69,5,20,34,18,0,49,2,3,66.7,2,0,30,157,95,3,0,0,1,2,26,26,100.0,1,Matches
87,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,29-273,1992,8.9,422,3,29,205,205,59,398,15,28,53.6,15,4,277,789,375,22,9,5,24,27,443,308,69.5,71,Matches
88,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,26-041,1996,13.3,916,34,188,547,238,15,889,14,26,53.8,16,1,618,2892,1420,59,18,2,15,10,682,630,92.4,39,Matches
89,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,19-364,2002,7.0,403,61,283,131,15,4,384,2,4,50.0,2,0,247,1392,792,11,0,0,1,1,257,254,98.8,1,Matches
90,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,31-187,1990,12.0,753,32,207,423,161,14,697,10,16,62.5,10,2,441,1916,890,31,11,0,16,19,601,482,80.2,41,Matches
91,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,21-101,2000,14.1,1145,32,291,534,437,74,1016,49,85,57.6,56,8,823,5137,3693,162,58,34,28,15,804,747,92.9,59,Matches
92,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,30-007,1992,0.1,8,0,1,4,3,1,8,0,0,,0,0,5,8,1,0,0,0,1,0,8,6,75.0,1,Matches
93,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,30-161,1991,0.2,16,0,2,11,3,0,16,0,0,,0,0,9,20,10,0,0,0,0,1,9,9,100.0,0,Matches
94,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,28-223,1993,16.2,1189,52,299,668,299,22,1048,21,29,72.4,21,3,737,4022,2003,90,23,3,22,21,806,729,90.4,30,Matches
95,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,23-323,1998,5.0,154,3,18,57,89,22,151,6,12,50.0,7,0,90,480,257,8,7,2,7,13,215,92,42.8,32,Matches
96,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,29-119,1992,0.2,7,2,5,1,1,1,7,0,0,,0,0,3,11,3,0,0,0,0,0,3,3,100.0,0,Matches
97,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,22-219,1999,17.9,732,3,61,394,363,84,717,31,82,37.8,34,12,622,3734,2197,109,38,25,43,27,775,570,73.5,118,Matches
98,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,31-355,1990,3.1,148,2,13,73,76,12,138,6,9,66.7,6,1,103,576,264,12,7,1,3,3,145,104,71.7,31,Matches
99,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,23-234,1998,1.5,52,2,13,31,13,0,52,3,7,42.9,5,1,41,213,84,5,2,0,2,2,45,34,75.6,3,Matches
100,Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,25-010,1997,0.4,18,0,4,5,10,2,18,0,3,0.0,1,0,11,55,37,2,0,1,2,1,13,11,84.6,3,Matches
101,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,24-027,1998,16.2,891,53,321,529,89,0,850,16,24,66.7,17,0,591,2825,1058,26,7,0,6,20,524,483,92.2,6,Matches
