,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
44,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-185,1995,21,19,1497,16.6,5,4,5,0,0,0,0,0.30,0.24,0.54,0.30,0.54,3.7,3.7,2.1,5.7,0.22,0.12,0.35,0.22,0.35,Matches
45,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-251,1997,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-070,1990,21,11,1093,12.1,4,1,4,0,0,3,0,0.33,0.08,0.41,0.33,0.41,5.4,5.4,1.1,6.4,0.44,0.09,0.53,0.44,0.53,Matches
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-107,1990,18,13,1102,12.2,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.7,1.7,0.3,2.0,0.14,0.03,0.16,0.14,0.16,Matches
48,Steven Bergwijn\a29b1131,nl NED,FW,Tottenham,24-126,1997,11,4,422,4.7,2,1,2,0,0,1,0,0.43,0.21,0.64,0.43,0.64,1.9,1.9,0.5,2.4,0.41,0.11,0.52,0.41,0.52,Matches
49,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-190,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.08,0.08,0.00,0.08,Matches
50,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,20-351,2001,4,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
51,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-165,1996,14,14,1210,13.4,0,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,0.6,1.2,0.04,0.04,0.09,0.04,0.09,Matches
52,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-053,1996,24,23,2034,22.6,7,7,7,0,0,2,0,0.31,0.31,0.62,0.31,0.62,8.1,8.1,4.6,12.7,0.36,0.20,0.56,0.36,0.56,Matches
53,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-229,2002,2,1,146,1.6,1,0,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,0.4,0.4,0.0,0.4,0.26,0.00,0.26,0.26,0.26,Matches
54,Armando Broja\97220da2,al ALB,FW,Southampton,20-154,2001,19,11,1056,11.7,6,0,6,0,0,1,0,0.51,0.00,0.51,0.51,0.51,5.1,5.1,0.9,6.0,0.43,0.08,0.51,0.43,0.51,Matches
55,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-054,1995,17,15,1383,15.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.0,1.6,0.04,0.07,0.11,0.04,0.11,Matches
56,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-000,2001,9,0,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.07,0.10,0.03,0.10,Matches
57,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-048,1996,20,16,1292,14.4,2,3,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35,1.8,1.8,2.4,4.2,0.13,0.17,0.29,0.13,0.29,Matches
58,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-278,1992,13,12,1022,11.4,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,1.2,1.2,0.0,1.3,0.11,0.00,0.11,0.11,0.11,Matches
59,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
60,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-148,1993,4,1,154,1.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.17,0.02,0.19,0.17,0.19,Matches
61,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
62,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24-332,1997,6,6,518,5.8,3,0,1,2,3,1,0,0.52,0.00,0.52,0.17,0.17,5.3,3.1,0.3,3.3,0.93,0.05,0.97,0.53,0.58,Matches
63,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-260,1994,23,23,2057,22.9,1,5,1,0,0,5,0,0.04,0.22,0.26,0.04,0.26,2.6,2.6,3.1,5.7,0.11,0.14,0.25,0.11,0.25,Matches
64,Sergi Canós\1137759d,es ESP,DF,Brentford,25-009,1997,23,21,1708,19.0,2,2,2,0,0,5,0,0.11,0.11,0.21,0.11,0.21,2.5,2.5,1.3,3.8,0.13,0.07,0.20,0.13,0.20,Matches
65,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23-349,1998,8,5,441,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches
66,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-188,1997,22,22,1963,21.8,1,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,1.3,1.3,1.3,2.5,0.06,0.06,0.12,0.06,0.12,Matches
67,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-068,1995,16,12,1273,14.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.00,0.03,0.03,0.00,0.03,Matches
68,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-005,1989,19,19,1643,18.3,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
69,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34-362,1987,11,6,604,6.7,2,1,2,0,0,0,0,0.30,0.15,0.45,0.30,0.45,3.1,3.1,1.1,4.2,0.46,0.17,0.63,0.46,0.63,Matches
70,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-221,1999,14,11,909,10.1,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06,Matches
71,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-022,1995,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
72,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-022,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches
73,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-052,1996,6,6,540,6.0,3,1,3,0,0,0,0,0.50,0.17,0.67,0.50,0.67,1.2,1.2,0.9,2.1,0.19,0.15,0.35,0.19,0.35,Matches
74,Chiquinho\dc6c2f02,pt POR,MF,Wolves,22-006,2000,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.20,0.18,0.38,0.20,0.38,Matches
75,Hamza Choudhury\7d2d3329,eng ENG,MFDF,Leicester City,24-133,1997,4,3,224,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
76,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-307,1996,13,11,1001,11.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04,Matches
77,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-035,2004,8,1,188,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.5,0.5,1.0,1.5,0.22,0.47,0.70,0.22,0.70,Matches
78,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-138,1989,13,12,1014,11.3,0,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.8,0.8,0.3,1.1,0.07,0.03,0.10,0.07,0.10,Matches
79,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-183,1989,17,11,895,9.9,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.5,0.5,1.4,1.9,0.05,0.14,0.19,0.05,0.19,Matches
80,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-312,1991,2,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
81,Conor Coady\2928dca2,eng ENG,DF,Wolves,28-351,1993,22,22,1966,21.8,2,0,2,0,0,1,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.0,1.6,0.07,0.00,0.07,0.07,0.07,Matches
82,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-123,1988,16,16,1403,15.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches
83,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-287,2001,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.09,0.10,0.01,0.10,Matches
84,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-014,2000,4,1,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8,0.26,0.20,0.47,0.26,0.47,Matches
85,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-165,1991,15,15,1274,14.2,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
86,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-231,1989,8,8,641,7.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
87,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-137,1996,12,10,765,8.5,6,0,6,0,0,2,0,0.71,0.00,0.71,0.71,0.71,2.1,2.1,0.6,2.7,0.25,0.07,0.32,0.25,0.32,Matches
88,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-030,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches
89,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-173,1992,21,18,1613,17.9,0,3,0,0,0,4,1,0.00,0.17,0.17,0.00,0.17,0.6,0.6,2.1,2.7,0.03,0.12,0.15,0.03,0.15,Matches
90,Philippe Coutinho\0ef89a37,br BRA,FW,Aston Villa,29-244,1992,3,2,173,1.9,2,2,2,0,0,0,0,1.04,1.04,2.08,1.04,2.08,1.1,1.1,0.8,1.9,0.56,0.43,0.98,0.56,0.98,Matches
