,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
78,Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,22-141,1999,12.3,15,1.22,12,0,1,1,0,1,3,0.24,2,0,1,0,0,0,Matches
79,Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,31-357,1990,13.5,54,4.00,41,8,1,1,2,1,1,0.07,1,0,0,0,0,0,Matches
80,Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,28-147,1993,17.0,80,4.72,33,22,10,3,8,4,13,0.77,4,3,1,2,3,0,Matches
81,Farid Boulaya\a0791826,dz ALG,FWMF,Metz,28-351,1993,9.7,27,2.78,16,10,1,0,0,0,1,0.10,0,1,0,0,0,0,Matches
82,Ismaëlben Boura\62e02107,fr FRA,DF,Lens,21-181,2000,1.1,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Benjamin Bourigeaud\20e73fac,fr FRA,MFFW,Rennes,28-028,1994,21.3,103,4.84,52,47,2,0,1,1,7,0.33,5,2,0,0,0,0,Matches
84,Redwan Bourles\5c7895a0,fr FRA,MFFW,Lorient,19-040,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,22-063,1999,1.8,3,1.68,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Bilal Brahimi\02bcaf8e,fr FRA,FWDF,Angers,21-334,2000,3.8,14,3.73,8,0,4,0,2,0,3,0.80,1,0,1,0,1,0,Matches
87,Bilal Brahimi\02bcaf8e,fr FRA,MF,Nice,21-334,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Lilian Brassier\5b146df3,fr FRA,DF,Brest,22-101,1999,13.1,12,0.92,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Jimmy Briand\f83c8d6c,fr FRA,FWMF,Bordeaux,36-193,1985,2.0,13,6.50,11,0,0,2,0,0,2,1.00,1,0,0,1,0,0,Matches
90,Dylan Bronn\edd81e2a,tn TUN,DF,Metz,26-237,1995,17.0,7,0.41,6,0,0,1,0,0,1,0.06,0,0,0,1,0,0,Matches
91,Osman Bukari\eab85789,gh GHA,FWMF,Nantes,23-060,1998,6.4,18,2.81,12,1,3,2,0,0,3,0.47,3,0,0,0,0,0,Matches
92,Maxime Busi\7b082ec2,be BEL,DF,Reims,22-120,1999,2.5,5,2.00,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,23-022,1999,0.9,3,3.25,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Jimmy Cabot\46359159,fr FRA,DF,Angers,27-299,1994,20.6,33,1.55,26,2,2,1,1,1,5,0.24,4,0,0,0,1,0,Matches
96,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,24-225,1997,17.0,20,1.17,19,0,1,0,0,0,2,0.12,2,0,0,0,0,0,Matches
97,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,24-323,1997,2.1,4,1.87,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,37-024,1985,6.7,4,0.60,4,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
99,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,5.0,1,0.20,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Jens Cajuste\928a4a61,se SWE,MF,Reims,22-185,1999,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,25-147,1996,11.2,3,0.27,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,20-005,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
103,Mahdi Camara\8577e60a,fr FRA,MFDF,Saint-Étienne,23-226,1998,20.4,48,2.36,35,5,4,1,3,0,1,0.05,1,0,0,0,0,0,Matches
104,Mamadou Camara\316e70c7,fr FRA,FW,Troyes,21-004,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Rennes,19-093,2002,1.6,4,2.52,3,0,0,0,1,0,1,0.63,1,0,0,0,0,0,Matches
106,Fali Candé\3cc4bb19,gw GNB,DF,Metz,24-018,1998,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Pierrick Capelle\79b2399c,fr FRA,MFDF,Angers,34-302,1987,7.8,18,2.31,12,2,0,3,0,1,1,0.13,0,0,0,1,0,0,Matches
108,Maxence Caqueret\f81ef10d,fr FRA,MF,Lyon,21-361,2000,18.9,42,2.22,32,5,2,1,0,2,3,0.16,3,0,0,0,0,0,Matches
109,Irvin Cardona\5e080f73,fr FRA,FW,Brest,24-187,1997,10.0,17,1.70,12,1,1,1,1,1,3,0.30,1,0,1,0,0,1,Matches
110,Igor Carioca\e3e32fbb,br BRA,DF,Lorient,25-174,1996,14.8,25,1.69,24,0,1,0,0,0,1,0.07,1,0,0,0,0,0,Matches
111,Moreto Cassamã\f54d2149,gw GNB,MF,Reims,23-360,1998,8.6,21,2.44,10,7,2,1,1,0,2,0.23,1,0,1,0,0,0,Matches
112,Jean-Charles Castelletto\e0f3a1f6,cm CMR,DF,Nantes,27-016,1995,15.9,8,0.50,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Zeki Çelik\31a62dc7,tr TUR,DF,Lille,24-359,1997,17.2,18,1.05,12,2,1,1,2,0,1,0.06,0,0,0,0,1,0,Matches
114,Fabien Centonze\3c6bbbab,fr FRA,DF,Metz,26-026,1996,17.0,24,1.41,16,1,2,1,3,1,2,0.12,2,0,0,0,0,0,Matches
115,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Nassim Chadli\5c61496e,fr FRA,MFDF,Troyes,20-198,2001,1.1,3,2.81,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
117,Mehdi Chahiri\1787195f,ma MAR,MF,Strasbourg,25-201,1996,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Dylan Chambost\dbde4959,fr FRA,MFFW,Troyes,24-176,1997,7.2,16,2.22,11,3,0,1,0,1,1,0.14,0,1,0,0,0,0,Matches
119,Brendan Chardonnet\16aa7d4c,fr FRA,DF,Brest,27-051,1994,19.0,15,0.75,12,1,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
120,Xavier Chavalerin\279ddf6a,fr FRA,MFDF,Reims,30-341,1991,2.4,5,2.05,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
121,Xavier Chavalerin\279ddf6a,fr FRA,MF,Troyes,30-341,1991,17.0,29,1.70,19,5,1,3,0,1,4,0.23,3,0,0,1,0,0,Matches
122,Rayan Cherki\b34c63a5,fr FRA,FWMF,Lyon,18-178,2003,4.9,18,3.68,12,6,0,0,0,0,1,0.20,0,1,0,0,0,0,Matches
123,Pedro Chirivella\68a26d51,es ESP,MF,Nantes,24-264,1997,20.4,33,1.62,32,0,1,0,0,0,3,0.15,3,0,0,0,0,0,Matches
124,Joris Chotard\7909ffa4,fr FRA,MF,Montpellier,20-140,2001,20.5,22,1.07,16,0,0,0,2,4,2,0.10,0,0,0,0,1,1,Matches
125,Alexis Claude-Maurice\741418c3,fr FRA,MF,Nice,23-250,1998,2.1,11,5.16,8,3,0,0,0,0,2,0.94,2,0,0,0,0,0,Matches
126,Jonathan Clauss\5219ab4a,fr FRA,DF,Lens,29-139,1992,20.5,78,3.80,47,25,1,1,1,3,13,0.63,10,2,0,0,0,1,Matches
127,Marcus Coco\3010aefb,fr FRA,FWMF,Nantes,25-232,1996,5.5,10,1.81,6,0,0,2,2,0,1,0.18,1,0,0,0,0,0,Matches
128,Abdu Conté\cfa49cc1,pt POR,DFMF,Troyes,23-324,1998,3.0,3,1.00,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
129,Sébastien Corchia\0e7ccfc4,fr FRA,DF,Nantes,31-102,1990,8.2,11,1.35,7,3,0,0,1,0,4,0.49,2,1,0,0,1,0,Matches
130,Maxwel Cornet\beb391dd,ci CIV,DFMF,Lyon,25-137,1996,0.7,2,2.86,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,David Pereira da Costa\59948ef7,pt POR,FWMF,Lens,21-037,2001,7.1,27,3.81,22,1,4,0,0,0,3,0.42,3,0,0,0,0,0,Matches
132,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21.0,2,0.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Kalifa Coulibaly\9980269a,ml MLI,FW,Nantes,30-174,1991,3.7,5,1.34,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Nicolas Cozza\8f325097,fr FRA,DF,Montpellier,23-034,1999,18.7,17,0.91,13,1,1,0,2,0,4,0.21,3,0,1,0,0,0,Matches
135,Wylan Cyprien\3e092724,fr FRA,MF,Nantes,27-014,1995,7.5,19,2.52,7,10,0,2,0,0,2,0.27,0,1,0,1,0,0,Matches
136,Lucas Da Cunha\007faf7a,fr FRA,MF,Nice,20-247,2001,4.4,21,4.81,12,5,0,1,2,1,1,0.23,1,0,0,0,0,0,Matches
137,Lucas Da Cunha\007faf7a,fr FRA,FW,Clermont Foot,20-247,2001,0.8,2,2.50,2,0,0,0,0,0,1,1.25,1,0,0,0,0,0,Matches
138,Damien Da Silva\1ec7e1c5,fr FRA,DF,Lyon,33-270,1988,7.2,5,0.70,2,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
139,Colin Dagba\29c02c9f,fr FRA,DF,Paris S-G,23-155,1998,1.8,3,1.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Flavius Daniliuc\7ef972c3,at AUT,DF,Nice,20-290,2001,7.1,2,0.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
141,Kevin Danso\6e33125f,at AUT,DF,Lens,23-145,1998,18.4,7,0.38,6,0,0,0,1,0,2,0.11,1,0,0,0,1,0,Matches
142,Dante\fd2bc67d,br BRA,DF,Nice,38-116,1983,21.5,14,0.65,11,0,0,1,1,1,2,0.09,0,0,0,1,1,0,Matches
143,Jonathan David\ce50fd99,ca CAN,FW,Lille,22-028,2000,19.2,42,2.19,33,0,2,3,3,1,3,0.16,1,0,1,0,0,1,Matches
144,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,20-210,2001,8.7,21,2.41,17,0,3,1,0,0,5,0.57,3,0,1,1,0,0,Matches
145,Romain Del Castillo\0be95d34,fr FRA,FWMF,Brest,25-319,1996,3.3,8,2.39,6,0,1,0,1,0,1,0.30,0,0,0,0,1,0,Matches
146,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,25-319,1996,0.3,1,3.21,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Thomas Delaine\8332db56,fr FRA,DF,Metz,29-324,1992,15.6,31,1.99,24,2,3,1,0,1,2,0.13,2,0,0,0,0,0,Matches
148,Sacha Delaye\e4448c8c,fr FRA,MF,Montpellier,19-294,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Andy Delort\d33c706e,dz ALG,FW,Nice,30-125,1991,13.8,45,3.26,33,0,4,4,2,2,7,0.51,5,0,0,1,1,0,Matches
150,Andy Delort\d33c706e,dz ALG,FW,Montpellier,30-125,1991,3.0,12,4.01,11,0,0,1,0,0,1,0.33,0,0,0,1,0,0,Matches
151,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,25-214,1996,11.8,30,2.55,20,0,2,2,4,2,5,0.42,1,0,1,1,2,0,Matches
152,Jason Denayer\47af88b8,be BEL,DF,Lyon,26-228,1995,10.1,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
153,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Ángel Di María\19cda00b,ar ARG,FW,Paris S-G,33-362,1988,12.5,66,5.28,50,7,5,1,2,1,7,0.56,6,0,0,0,1,0,Matches
155,Yadaly Diaby\5630a6e0,fr FRA,FWMF,Clermont Foot,21-186,2000,0.7,1,1.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,18-103,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,25-283,1996,8.5,5,0.59,5,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
