,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
568,Tonny Vilhena\c7069d87,nl NED,FW,Espanyol,27-039,1995,2,1,81,0.9,1,0,1,0,0,0,0,1.11,0.00,1.11,1.11,1.11,0.3,0.3,0.3,0.6,0.37,0.29,0.65,0.37,0.65,Matches
569,Asier Villalibre\57be54ec,es ESP,FW,Athletic Club,24-134,1997,8,1,224,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.9,0.34,0.01,0.34,0.34,0.34,Matches
570,Vitolo\db750822,es ESP,MFFW,Getafe,32-101,1989,7,1,221,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.06,0.07,0.02,0.07,Matches
571,Daniel Vivian\ab7bf91d,es ESP,DF,Athletic Club,22-211,1999,11,11,957,10.6,1,1,1,0,0,0,0,0.09,0.09,0.19,0.09,0.19,0.7,0.7,0.2,0.9,0.06,0.02,0.08,0.06,0.08,Matches
572,Šime Vrsaljko\46a8347f,hr CRO,DF,Atlético Madrid,30-032,1992,9,3,345,3.8,1,1,1,0,0,1,0,0.26,0.26,0.52,0.26,0.52,0.8,0.8,0.4,1.3,0.21,0.12,0.33,0.21,0.33,Matches
573,Nikola Vukčević\4442fbcd,me MNE,MF,Levante,30-060,1991,4,0,111,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
574,Daniel Wass\d83bbc54,dk DEN,DF,Atlético Madrid,32-256,1989,1,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
575,Daniel Wass\d83bbc54,dk DEN,MF,Valencia,32-256,1989,19,19,1582,17.6,1,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,1.8,1.8,0.6,2.4,0.10,0.03,0.14,0.10,0.14,Matches
576,Iñaki Williams\6a99e0b1,es ESP,FW,Athletic Club,27-241,1994,23,20,1770,19.7,5,2,5,0,0,2,0,0.25,0.10,0.36,0.25,0.36,6.9,6.9,3.9,10.8,0.35,0.20,0.55,0.35,0.55,Matches
577,Nico Williams\afdc14d7,es ESP,MF,Athletic Club,19-214,2002,22,6,852,9.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,2.4,2.4,1.2,3.6,0.25,0.13,0.38,0.25,0.38,Matches
578,Okay Yokuşlu\e49ce451,tr TUR,DFMF,Celta Vigo,27-339,1994,8,1,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.15,0.00,0.15,0.15,0.15,Matches
579,Joseba Zaldúa\5ca20b7a,es ESP,DF,Real Sociedad,29-232,1992,15,9,774,8.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.04,0.05,0.00,0.05,Matches
580,Oier Zarraga\968a1c2f,es ESP,MF,Athletic Club,23-038,1999,18,6,767,8.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.05,0.02,0.07,0.05,0.07,Matches
581,Luca Zidane\c818c4d9,fr FRA,GKMF,Rayo Vallecano,23-274,1998,4,4,285,3.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
582,Igor Zubeldia\5c7845f6,es ESP,DFMF,Real Sociedad,24-318,1997,14,9,781,8.7,0,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.6,0.6,0.0,0.6,0.07,0.00,0.07,0.07,0.07,Matches
583,Martín Zubimendi\3ee0dd59,es ESP,MF,Real Sociedad,23-009,1999,20,14,1375,15.3,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.4,0.8,0.02,0.03,0.05,0.02,0.05,Matches
