,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
79,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-183,1989,9.9,0,9,5,55.6,0.91,0.50,0.00,0.00,24.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
80,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-312,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,Conor Coady\2928dca2,eng ENG,DF,Wolves,28-351,1993,21.8,2,7,2,28.6,0.32,0.09,0.29,1.00,8.1,0,0,0,1.6,1.6,0.23,+0.4,+0.4,Matches
82,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-123,1988,15.6,0,5,0,0.0,0.32,0.00,0.00,,18.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
83,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-287,2001,5.0,0,1,0,0.0,0.20,0.00,0.00,,7.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
84,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-014,2000,1.7,0,2,0,0.0,1.15,0.00,0.00,,14.9,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
85,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-165,1991,14.2,0,4,0,0.0,0.28,0.00,0.00,,11.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
86,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-231,1989,7.1,0,3,0,0.0,0.42,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
87,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-137,1996,8.5,6,21,12,57.1,2.47,1.41,0.29,0.50,17.2,3,0,0,2.1,2.1,0.10,+3.9,+3.9,Matches
88,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-030,1994,0.2,0,1,0,0.0,4.09,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
89,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-173,1992,17.9,0,11,4,36.4,0.61,0.22,0.00,0.00,17.0,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
90,Philippe Coutinho\0ef89a37,br BRA,FW,Aston Villa,29-244,1992,1.9,2,6,4,66.7,3.12,2.08,0.33,0.50,16.5,1,0,0,1.1,1.1,0.18,+0.9,+0.9,Matches
91,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-058,1989,16.7,1,9,2,22.2,0.54,0.12,0.11,0.50,21.4,5,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
92,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-066,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
93,Cucho\71b47ab9,co COL,MFFW,Watford,22-297,1999,7.8,2,22,5,22.7,2.82,0.64,0.09,0.40,18.5,3,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
94,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-204,1998,18.3,0,9,1,11.1,0.49,0.05,0.00,0.00,23.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
95,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19-291,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,Patson Daka\ca45605e,zm ZAM,FWMF,Leicester City,23-125,1998,5.7,4,14,8,57.1,2.46,1.41,0.29,0.50,14.6,0,0,0,3.2,3.2,0.23,+0.8,+0.8,Matches
97,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-298,1991,21.9,1,24,7,29.2,1.10,0.32,0.04,0.14,21.6,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
98,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,22-330,1999,9.1,0,6,2,33.3,0.66,0.22,0.00,0.00,21.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
99,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
100,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,23-111,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,Ben Davies\44781702,wls WAL,DF,Tottenham,28-293,1993,11.3,0,9,2,22.2,0.79,0.18,0.00,0.00,16.5,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
102,Tom Davies\9228b07c,eng ENG,MF,Everton,23-226,1998,1.8,1,6,2,33.3,3.42,1.14,0.17,0.50,16.4,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
103,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,23-363,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31-281,1990,17.9,0,16,3,18.8,0.89,0.17,0.00,0.00,8.2,0,0,0,1.5,1.5,0.10,-1.5,-1.5,Matches
105,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30-228,1991,13.2,7,45,15,33.3,3.41,1.14,0.16,0.47,19.2,2,0,0,3.2,3.2,0.07,+3.8,+3.8,Matches
106,Troy Deeney\82e34b69,eng ENG,FW,Watford,33-227,1988,0.3,0,2,0,0.0,7.20,0.00,0.00,,9.0,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
107,Fabian Delph\111c3236,eng ENG,MF,Everton,32-082,1989,2.8,0,1,0,0.0,0.36,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
108,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,26-302,1995,10.8,0,11,4,36.4,1.02,0.37,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
109,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,24-088,1997,17.3,8,39,20,51.3,2.26,1.16,0.21,0.40,15.2,3,0,0,4.4,4.4,0.11,+3.6,+3.6,Matches
110,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,23-158,1998,7.8,0,8,1,12.5,1.02,0.13,0.00,0.00,21.2,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
111,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,22-340,1999,8.2,0,7,3,42.9,0.85,0.36,0.00,0.00,19.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
112,Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,25-059,1996,19.0,8,57,13,22.8,3.01,0.69,0.09,0.38,21.9,7,3,3,6.7,4.4,0.08,+1.3,+0.6,Matches
113,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24-273,1997,20.7,2,12,3,25.0,0.58,0.15,0.17,0.67,12.1,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
114,Luis Díaz\4a1a9578,co COL,FW,Liverpool,25-029,1997,1.0,0,4,2,50.0,4.04,2.02,0.00,0.00,17.7,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
115,Eric Dier\ac861941,eng ENG,DF,Tottenham,28-027,1994,18.1,0,6,3,50.0,0.33,0.17,0.00,0.00,13.7,2,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
116,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,28-206,1993,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,13.6,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
117,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28-206,1993,13.0,0,9,1,11.1,0.69,0.08,0.00,0.00,21.1,3,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
118,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30-218,1991,21.0,2,23,8,34.8,1.10,0.38,0.09,0.25,11.7,1,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches
119,Issa Diop\a712ca2b,fr FRA,DF,West Ham,25-033,1997,8.0,0,1,1,100.0,0.13,0.13,0.00,0.00,7.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
120,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-241,1998,4.8,0,10,1,10.0,2.09,0.21,0.00,0.00,15.9,0,0,0,1.5,1.5,0.15,-1.5,-1.5,Matches
121,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,19-039,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Matt Doherty\d557d734,ie IRL,DFMF,Tottenham,30-026,1992,2.6,0,8,2,25.0,3.04,0.76,0.00,0.00,14.6,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
123,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,24-054,1997,18.4,3,19,7,36.8,1.03,0.38,0.16,0.43,11.2,0,0,0,1.9,1.9,0.10,+1.1,+1.1,Matches
124,Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,29-041,1993,15.7,2,24,6,25.0,1.53,0.38,0.08,0.33,16.6,0,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches
125,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,24-124,1997,3.8,0,3,0,0.0,0.79,0.00,0.00,,26.0,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
126,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,20-065,2001,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-027,1989,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Shane Duffy\7314bba4,ie IRL,DF,Brighton,30-041,1992,12.9,1,16,4,25.0,1.24,0.31,0.06,0.25,8.7,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
129,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,30-138,1991,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
130,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,30-082,1991,14.0,0,6,3,50.0,0.43,0.21,0.00,0.00,9.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
