,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
101,William Carvalho\dee86451,pt POR,MF,Betis,29-310,1992,11.5,30,2.61,27,0,2,0,0,1,4,0.35,3,0,0,0,0,1,Matches
102,Casemiro\4d224fe8,br BRA,MF,Real Madrid,29-353,1992,18.6,38,2.05,32,0,0,1,1,4,8,0.43,5,0,0,1,1,1,Matches
103,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-132,1986,12.0,4,0.33,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Catena\274ab13c,es ESP,DF,Rayo Vallecano,27-106,1994,21.0,20,0.95,13,2,0,1,2,2,2,0.10,1,0,0,1,0,0,Matches
105,Dani Ceballos\c0617e2b,es ESP,MF,Real Madrid,25-188,1996,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Franco Cervi\5e1028e5,ar ARG,MF,Celta Vigo,27-261,1994,11.9,21,1.77,13,2,0,2,3,1,5,0.42,3,0,0,1,1,0,Matches
107,Chapela\9ed40a69,es ESP,MFFW,Cádiz,22-266,1999,4.4,5,1.13,4,0,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches
108,Chema\7f203b54,es ESP,MF,Getafe,29-345,1992,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,31-047,1990,4.7,14,2.98,9,2,0,0,1,2,3,0.64,1,0,0,0,1,1,Matches
110,Samuel Chukwueze\b8a642fc,ng NGA,MF,Villarreal,22-265,1999,5.7,21,3.71,18,0,1,1,1,0,2,0.35,1,0,0,1,0,0,Matches
111,Víctor Chust\ec1a731e,es ESP,DF,Cádiz,21-343,2000,10.3,1,0.10,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-295,1989,14.2,2,0.14,2,0,0,0,0,0,2,0.14,2,0,0,0,0,0,Matches
113,Pathé Ciss\9a0408b6,sn SEN,MF,Rayo Vallecano,27-332,1994,7.3,15,2.07,8,0,1,2,1,3,1,0.14,1,0,0,0,0,0,Matches
114,Carlos Clerc\33a61a52,es ESP,DF,Levante,29-355,1992,16.8,20,1.19,15,3,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches
115,Coke\6d8f8441,es ESP,DF,Levante,34-291,1987,0.1,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Álex Collado\85dace26,es ESP,MFFW,Granada,22-295,1999,1.8,3,1.71,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Eray Cömert\15937e17,ch SUI,DF,Valencia,24-007,1998,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Santi Comesaña\5ae499d0,es ESP,MF,Rayo Vallecano,25-129,1996,18.3,29,1.59,23,1,1,2,2,0,4,0.22,2,0,1,1,0,0,Matches
119,Diego Conde\4eae5bc4,es ESP,GK,Getafe,23-106,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Francis Coquelin\a6951bf8,fr FRA,MF,Villarreal,30-274,1991,6.3,11,1.75,9,0,0,1,1,0,1,0.16,1,0,0,0,0,0,Matches
121,Jesús Corona\fb938d24,mx MEX,FWDF,Sevilla,29-036,1993,1.9,10,5.23,7,0,3,0,0,0,1,0.52,1,0,0,0,0,0,Matches
122,Ángel Correa\01eb744d,ar ARG,FWMF,Atlético Madrid,26-339,1995,13.8,40,2.90,28,3,3,2,2,2,6,0.43,5,0,0,0,0,1,Matches
123,Thierry Correia\c78b352d,pt POR,DF,Valencia,22-339,1999,7.9,12,1.51,9,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
124,Hélder Costa\f13d02a6,ao ANG,MFFW,Valencia,28-030,1994,9.9,28,2.83,22,2,3,0,0,1,2,0.20,2,0,0,0,0,0,Matches
125,Jaume Costa\808d48f3,es ESP,DF,Mallorca,33-330,1988,11.4,19,1.67,17,1,0,0,1,0,2,0.18,2,0,0,0,0,0,Matches
126,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,29-276,1992,23.0,3,0.13,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
127,Philippe Coutinho\0ef89a37,br BRA,MFFW,Barcelona,29-244,1992,5.6,16,2.86,11,2,1,0,1,1,4,0.72,3,0,0,0,1,0,Matches
128,Cristo\ad81ba78,es ESP,DF,Real Sociedad,21-287,2000,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Juan Cruz Armada\a56da3ba,es ESP,DF,Osasuna,29-198,1992,11.0,4,0.36,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Marc Cucurella\1daec722,es ESP,FWDF,Getafe,23-204,1998,0.3,4,15.65,1,1,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
131,Jorge Cuenca\0abc51f2,es ESP,DF,Getafe,22-086,1999,18.9,5,0.27,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
132,Matheus Cunha\dc62b55d,br BRA,FW,Atlético Madrid,22-260,1999,5.7,10,1.75,5,0,0,0,4,1,2,0.35,2,0,0,0,0,0,Matches
133,Sergi Darder\070a3904,es ESP,MF,Espanyol,28-051,1993,19.8,46,2.33,37,3,1,3,0,2,8,0.40,8,0,0,0,0,0,Matches
134,Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,27-263,1994,14.6,42,2.88,31,9,0,0,1,1,2,0.14,2,0,0,0,0,0,Matches
135,Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,30-161,1991,7.8,5,0.64,4,0,0,1,0,0,2,0.26,1,0,0,1,0,0,Matches
