,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
473,Dennis Praet\86695068,be BEL,MF,Leicester City,27-273,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
474,Teemu Pukki\0745b37d,fi FIN,FW,Norwich City,31-319,1990,22,1905,87,92.0,21.2,22,87,15,0,,0,0.77,13,41,-28,-1.32,+0.86,16.4,35.6,-19.3,-0.91,-0.88,Matches
475,Christian Pulisic\1bf33a9a,us USA,FWMF,Chelsea,23-146,1998,12,756,63,35.0,8.4,8,86,6,4,17,3,1.50,13,7,+6,+0.71,-0.82,13.6,6.6,+7.0,+0.83,+0.08,Matches
476,Przemysław Płacheta\3c33f9d9,pl POL,FWMF,Norwich City,23-325,1998,8,428,54,20.7,4.8,6,71,0,2,2,4,0.50,1,9,-8,-1.68,-0.37,3.2,5.9,-2.8,-0.58,+0.32,Matches
477,Jarrell Quansah\4125cb98,eng ENG,DF,Liverpool,19-013,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
478,Jesuran Rak Sakyi\45685411,eng ENG,MF,Crystal Palace,19-129,2002,1,14,14,0.7,0.2,0,,0,1,14,3,0.00,0,0,0,0.00,+0.13,0.0,0.0,0.0,+0.31,+0.27,Matches
479,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-273,1998,19,1710,90,86.4,19.0,19,90,19,0,,2,2.05,34,16,+18,+0.95,+3.95,30.9,21.6,+9.2,+0.49,+2.55,Matches
480,Aaron Ramsey\e1618c22,eng ENG,MF,Aston Villa,19-021,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
481,Jacob Ramsey\1544f145,eng ENG,MFFW,Aston Villa,20-259,2001,20,1336,67,67.5,14.8,16,76,6,4,28,1,1.30,23,19,+4,+0.27,+1.39,17.6,18.4,-0.8,-0.05,+0.81,Matches
482,Darren Randolph\6385ebfb,ie IRL,GK,West Ham,34-275,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
483,Marcus Rashford\a1d5bd30,eng ENG,FWMF,Manchester Utd,24-103,1997,14,733,52,35.4,8.1,8,75,2,6,22,1,1.50,11,17,-6,-0.74,-1.54,12.2,16.0,-3.8,-0.47,-0.75,Matches
484,Milot Rashica\6c6a3300,xk KVX,FWMF,Norwich City,25-228,1996,17,1147,67,55.4,12.7,12,86,5,5,23,0,0.94,12,25,-13,-1.02,+0.83,10.4,20.7,-10.3,-0.81,+0.07,Matches
485,David Raya\98ea5115,es ESP,GK,Brentford,26-149,1995,10,900,90,41.7,10.0,10,90,10,0,,0,1.20,11,11,0,0.00,+1.00,13.1,11.0,+2.2,+0.22,+0.61,Matches
486,Nathan Redmond\ab651565,eng ENG,MFFW,Southampton,27-342,1994,19,1340,71,64.7,14.9,15,83,10,4,24,1,1.11,20,21,-1,-0.07,+0.67,19.8,20.0,-0.2,-0.01,+0.37,Matches
487,Sergio Reguilón\3353737a,es ESP,DF,Tottenham,25-057,1996,19,1444,76,76.4,16.0,18,80,10,1,5,2,1.89,21,20,+1,+0.06,+0.06,24.0,18.3,+5.7,+0.36,-0.33,Matches
488,Declan Rice\1c7012b8,eng ENG,MF,West Ham,23-028,1999,23,2070,90,95.8,23.0,23,90,23,0,,0,1.61,38,30,+8,+0.35,-2.65,31.1,28.7,+2.5,+0.11,-1.66,Matches
