,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
352,Habib Maïga\e768de1f,ci CIV,MFDF,Metz,26-041,1996,12.4,428,524,81.7,7728,2019,182,203,89.7,189,221,85.5,42,72,58.3,0,0.6,-0.6,10,39,3,2,31,Matches
353,Josh Maja\bc0bfc64,ng NGA,FW,Bordeaux,23-046,1998,0.1,5,6,83.3,90,13,1,1,100.0,4,5,80.0,0,0,,0,0.1,-0.1,1,0,1,0,1,Matches
354,Abdul Majeed Waris\46907171,gh GHA,MFFW,Strasbourg,30-145,1991,3.6,97,129,75.2,1327,284,64,74,86.5,23,32,71.9,5,10,50.0,0,0.6,-0.6,4,4,4,1,8,Matches
355,Lovro Majer\fc46aab1,hr CRO,MF,Rennes,24-025,1998,8.6,377,492,76.6,6796,1767,164,192,85.4,152,186,81.7,49,88,55.7,6,3.9,+2.1,23,27,19,4,36,Matches
356,Béni Makouana\654f49ca,cg CGO,FWMF,Montpellier,19-136,2002,2.0,41,56,73.2,571,174,20,25,80.0,19,24,79.2,0,1,0.0,0,0.2,-0.2,2,2,3,1,5,Matches
357,Hianga Mananga Mbock\0f86995c,fr FRA,MF,Brest,22-045,1999,8.2,246,275,89.5,4656,896,84,92,91.3,137,150,91.3,21,25,84.0,0,0.0,0.0,1,29,2,0,23,Matches
358,Vincent Manceau\c26a3918,fr FRA,DF,Angers,32-216,1989,20.0,1169,1297,90.1,25322,10474,321,340,94.4,624,663,94.1,215,271,79.3,0,0.3,-0.3,3,67,3,0,63,Matches
359,Steve Mandanda\1d2d5cc8,fr FRA,GK,Marseille,36-320,1985,4.0,102,117,87.2,2719,1735,27,28,96.4,42,44,95.5,33,45,73.3,0,0.0,0.0,1,3,0,0,0,Matches
360,Reinildo Mandava\c20bdcd7,mz MOZ,DF,Lille,28-021,1994,16.9,804,962,83.6,12896,4517,415,444,93.5,317,363,87.3,54,116,46.6,0,0.2,-0.2,4,47,4,1,50,Matches
361,Eliaquim Mangala\f520049f,fr FRA,DF,Saint-Étienne,30-363,1991,0.8,44,51,86.3,915,240,10,10,100.0,31,34,91.2,3,7,42.9,0,0.0,0.0,0,2,0,0,2,Matches
362,Thomas Mangani\c801616a,fr FRA,MF,Angers,34-288,1987,18.6,871,1087,80.1,17046,4896,376,425,88.5,347,416,83.4,133,212,62.7,2,0.9,+1.1,18,83,8,3,91,Matches
363,Ricardo Mangas\eef2d8ce,pt POR,DF,Bordeaux,23-329,1998,18.2,614,777,79.0,11685,4695,243,285,85.3,288,345,83.5,72,116,62.1,1,0.2,+0.8,7,38,9,1,54,Matches
364,Myziane Maolida\706a60e1,fr FRA,MFFW,Nice,22-362,1999,0.4,4,7,57.1,43,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
365,Sekou Mara\3544641e,fr FRA,FWMF,Bordeaux,19-196,2002,4.7,67,102,65.7,1026,185,39,53,73.6,19,29,65.5,6,12,50.0,0,0.0,0.0,1,5,2,0,9,Matches
366,Marcelo\e3d0b0c4,br BRA,DF,Lyon,34-267,1987,2.0,149,165,90.3,3320,836,37,42,88.1,78,85,91.8,32,35,91.4,0,0.0,0.0,0,4,0,0,10,Matches
367,Guillermo Maripán\d9764034,cl CHI,DF,Monaco,27-281,1994,15.2,925,1026,90.2,20944,6023,202,217,93.1,542,570,95.1,174,224,77.7,0,0.5,-0.5,1,54,0,0,54,Matches
368,Marquinhos\d5f2f82b,br BRA,DF,Paris S-G,27-273,1994,18.0,1301,1397,93.1,28278,8336,342,357,95.8,714,739,96.6,235,289,81.3,0,0.2,-0.2,3,103,4,0,61,Matches
369,Jonas Martin\468fdbad,fr FRA,MF,Rennes,31-308,1990,13.7,894,994,89.9,16530,4485,385,417,92.3,390,415,94.0,107,137,78.1,1,1.0,0.0,9,91,5,0,72,Matches
370,Gelson Martins\3ef0fa48,pt POR,FWMF,Monaco,26-276,1995,15.6,389,504,77.2,5600,1193,220,257,85.6,143,183,78.1,12,24,50.0,2,2.1,-0.1,17,17,11,4,29,Matches
371,Pape Matar Sarr\feb5d972,sn SEN,MF,Metz,19-150,2002,13.9,492,597,82.4,9659,2168,205,237,86.5,199,228,87.3,80,114,70.2,1,0.6,+0.4,12,49,7,0,44,Matches
372,Eliot Matazo\15944afd,be BEL,MF,Monaco,19-361,2002,7.6,312,352,88.6,5811,1118,123,134,91.8,151,159,95.0,31,45,68.9,0,0.1,-0.1,4,35,5,0,33,Matches
373,Chrislain Matsima\cf1ef7ec,fr FRA,DF,Monaco,19-272,2002,1.3,69,77,89.6,1478,500,17,20,85.0,41,45,91.1,11,11,100.0,0,0.0,0.0,0,4,0,0,4,Matches
374,Azor Matusiwa\a17a94d6,nl NED,MF,Reims,23-289,1998,13.8,507,597,84.9,10279,2296,206,244,84.4,196,213,92.0,97,123,78.9,1,0.6,+0.4,8,45,4,1,49,Matches
375,Stephy Mavididi\30144daa,eng ENG,FWMF,Montpellier,23-256,1998,18.8,344,433,79.4,4667,904,216,254,85.0,93,116,80.2,16,23,69.6,3,2.8,+0.2,18,6,11,5,13,Matches
376,Kylian Mbappé\42fd9c7f,fr FRA,FW,Paris S-G,23-053,1998,19.7,655,829,79.0,10011,1957,389,457,85.1,178,217,82.0,55,93,59.1,10,5.9,+4.1,41,32,33,8,50,Matches
377,Amadou Mbengue\14d2670e,sn SEN,DFMF,Metz,20-037,2002,5.4,181,218,83.0,4111,1480,49,53,92.5,102,110,92.7,29,51,56.9,0,0.0,0.0,1,15,0,0,10,Matches
378,Jason Mbock\890bc029,fr FRA,FW,Angers,22-102,1999,0.2,3,5,60.0,32,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
379,Moustapha Mbow\3f3a2cba,sn SEN,DF,Reims,21-340,2000,1.0,22,27,81.5,535,176,8,9,88.9,7,10,70.0,6,7,85.7,0,0.0,0.0,0,0,0,0,0,Matches
380,Nathanael Mbuku\46750e9c,fr FRA,FWMF,Reims,19-332,2002,10.6,191,252,75.8,3098,751,100,115,87.0,69,89,77.5,15,25,60.0,1,0.7,+0.3,8,21,6,0,20,Matches
381,Facundo Medina\6f5ec8bb,ar ARG,DF,Lens,22-259,1999,18.0,1344,1476,91.1,26750,10088,491,517,95.0,631,676,93.3,201,250,80.4,0,0.1,-0.1,2,111,3,0,108,Matches
382,Farid El Melali\d21e361a,dz ALG,FW,Angers,24-213,1997,0.2,2,5,40.0,36,0,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
383,Birger Meling\70c52749,no NOR,DF,Rennes,27-056,1994,13.8,648,754,85.9,11723,3501,290,321,90.3,269,303,88.8,75,96,78.1,2,0.8,+1.2,9,29,10,1,62,Matches
384,Houboulang Mendes\1545cf15,fr FRA,DF,Lorient,23-283,1998,21.8,745,882,84.5,14217,4324,288,309,93.2,353,388,91.0,94,156,60.3,0,0.5,-0.5,5,27,5,4,42,Matches
385,Nuno Mendes\f20e4cc9,pt POR,DF,Paris S-G,19-237,2002,10.2,580,666,87.1,9682,2389,287,312,92.0,239,269,88.8,46,62,74.2,1,1.8,-0.8,10,35,8,4,32,Matches
386,Thiago Mendes\c6e5d20f,br BRA,MFDF,Lyon,29-333,1992,9.5,570,660,86.4,10769,2546,253,272,93.0,225,248,90.7,79,116,68.1,0,0.5,-0.5,5,52,2,0,41,Matches
387,Arial Mendy\9f0f4b49,sn SEN,FWDF,Clermont Foot,27-096,1994,5.0,162,221,73.3,2604,953,94,111,84.7,52,73,71.2,14,26,53.8,0,1.0,-1.0,7,7,5,3,9,Matches
388,Batista Mendy\e472a6f6,fr FRA,MFDF,Angers,22-030,2000,15.8,664,746,89.0,13478,3231,215,235,91.5,332,358,92.7,102,133,76.7,0,0.3,-0.3,3,49,2,0,46,Matches
389,Gideon Mensah\9bdd8118,gh GHA,DF,Bordeaux,23-208,1998,5.5,303,348,87.1,5552,1782,133,145,91.7,138,150,92.0,27,40,67.5,1,0.7,+0.3,7,24,7,6,19,Matches
390,Quentin Merlin\0bfca6a1,fr FRA,DF,Nantes,19-271,2002,9.5,433,570,76.0,8009,3961,210,234,89.7,161,207,77.8,57,108,52.8,1,1.1,-0.1,13,49,14,7,56,Matches
391,Lionel Messi\d70ce98e,ar ARG,FWMF,Paris S-G,34-232,1987,10.9,624,757,82.4,10752,3501,321,365,87.9,222,255,87.1,69,99,69.7,6,4.1,+1.9,32,81,46,3,120,Matches
392,Mexer\ce492295,mz MOZ,DF,Bordeaux,33-156,1988,13.6,580,684,84.8,13876,4076,135,143,94.4,298,325,91.7,141,203,69.5,0,0.0,0.0,0,26,1,0,19,Matches
393,Edouard Michut\fe6c1add,fr FRA,MF,Paris S-G,18-344,2003,0.3,19,21,90.5,277,79,13,13,100.0,4,4,100.0,2,2,100.0,1,0.1,+0.9,1,0,0,0,0,Matches
394,Georges Mikautadze\4788cb6b,ge GEO,FW,Metz,21-103,2000,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
395,William Mikelbrencis\14df1d7f,fr FRA,DF,Metz,17-351,2004,0.7,18,30,60.0,319,161,9,11,81.8,7,12,58.3,1,5,20.0,0,0.0,0.0,0,2,0,0,1,Matches
396,Arkadiusz Milik\85613cf0,pl POL,FW,Marseille,27-348,1994,8.8,173,214,80.8,2607,300,94,108,87.0,51,62,82.3,12,14,85.7,0,1.4,-1.4,12,8,6,0,10,Matches
397,Terem Moffi\065dc209,ng NGA,FW,Lorient,22-262,1999,19.6,297,398,74.6,4661,819,175,213,82.2,74,108,68.5,33,47,70.2,3,2.5,+0.5,19,23,10,3,25,Matches
398,Dion Moise Sahi\cdc4458b,ci CIV,FWMF,Strasbourg,20-053,2001,1.1,34,36,94.4,519,118,18,20,90.0,14,14,100.0,1,1,100.0,0,0.1,-0.1,1,3,1,1,4,Matches
399,Florent Mollet\7e82a78f,fr FRA,FWMF,Montpellier,30-084,1991,17.6,575,717,80.2,9546,2493,300,333,90.1,195,228,85.5,58,113,51.3,2,1.8,+0.2,19,38,18,6,54,Matches
400,Thomas Monconduit\84d94b91,fr FRA,MF,Lorient,31-001,1991,14.3,569,738,77.1,11796,3990,209,254,82.3,249,301,82.7,99,158,62.7,2,2.3,-0.3,16,74,7,0,85,Matches
401,Jérémy Morel\e97150c0,mg MAD,DF,Lorient,37-315,1984,3.5,116,140,82.9,2515,879,28,29,96.6,65,73,89.0,22,37,59.5,0,0.1,-0.1,1,5,0,0,6,Matches
402,Lebo Mothiba\3eaf8817,za RSA,FW,Troyes,26-014,1996,0.5,10,12,83.3,133,15,7,8,87.5,0,0,,2,2,100.0,0,0.0,0.0,1,0,0,0,0,Matches
403,Lebo Mothiba\3eaf8817,za RSA,FW,Strasbourg,26-014,1996,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
